Time;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC]
18/09/2020 16:55:32,783;38,629711;-16,446621;28,802219;27,766194;48,334965;27,190613;47,563693;26,730477
18/09/2020 16:55:33,783;38,630791;-16,421731;28,845128;27,815859;48,489295;27,242052;47,769462;26,627585
18/09/2020 16:55:34,784;38,631716;-16,398511;28,887575;27,86168;48,437852;27,242052;47,872347;26,730477
18/09/2020 16:55:35,784;38,632025;-16,353435;28,97401;27,954093;48,592181;27,139174;48,078116;26,730477
18/09/2020 16:55:36,784;38,633413;-16,333856;29,017382;27,999609;48,489295;27,087735;48,38677;26,833369
18/09/2020 16:55:37,783;38,631716;-16,309421;29,063062;28,041281;48,592181;27,139174;48,438212;26,730477
18/09/2020 16:55:38,782;38,633413;-16,282405;29,10782;28,08403;48,386409;27,190613;49,106962;26,781923
18/09/2020 16:55:39,783;38,633722;-16,252961;29,153193;28,125857;48,437852;27,242052;49,158405;26,730477
18/09/2020 16:55:40,784;38,63295;-16,201963;29,24994;28,209665;48,334965;27,087735;49,518501;26,884815
18/09/2020 16:55:41,783;38,633722;-16,175402;29,301161;28,253185;48,437852;27,190613;50,032924;26,936261
18/09/2020 16:55:42,783;38,632488;-16,149751;29,35269;28,298397;48,334965;27,190613;50,032924;26,936261
18/09/2020 16:55:43,783;38,632796;-16,126681;29,405142;28,341765;48,232079;27,087735;50,444462;26,884815
18/09/2020 16:55:44,783;38,631716;-16,082512;29,513587;28,434652;48,386409;27,242052;50,856001;26,987708
18/09/2020 16:55:45,783;38,629094;-16,058682;29,569734;28,480944;48,077749;27,190613;50,958885;27,0906
18/09/2020 16:55:46,783;38,628169;-16,041075;29,624651;28,529081;48,129193;27,242052;51,216097;27,0906
18/09/2020 16:55:47,783;38,625855;-16,020432;29,681415;28,576142;48,026306;27,087735;51,06177;27,039154
18/09/2020 16:55:48,784;38,62277;-15,983244;29,795562;28,679956;48,077749;27,190613;51,318982;27,244938
18/09/2020 16:55:49,784;38,621536;-15,824773;29,851252;28,743169;48,026306;27,139174;51,627635;27,34783
18/09/2020 16:55:50,783;38,620302;-15,784092;29,91925;28,818842;48,129193;27,242052;51,73052;27,296384
18/09/2020 16:55:51,784;38,61876;-15,758286;29,99125;28,907436;48,180636;27,242052;51,781962;27,399276
18/09/2020 16:55:52,784;38,617989;-15,715934;30,148332;29,111089;48,077749;27,190613;51,833405;27,450722
18/09/2020 16:55:53,784;38,614749;-15,69787;30,228953;29,220919;48,180636;27,190613;51,884847;27,605061
18/09/2020 16:55:54,784;38,613361;-15,681324;30,31173;29,33306;48,077749;27,139174;51,73052;27,605061
18/09/2020 16:55:55,784;38,612436;-15,667814;30,391124;29,441205;48,129193;27,190613;51,781962;27,707953
18/09/2020 16:55:56,782;38,61151;-15,653392;30,468827;29,542123;48,129193;27,190613;51,781962;27,656507
18/09/2020 16:55:57,783;38,60858;-15,628648;30,618391;29,724583;48,129193;27,190613;51,781962;27,707953
18/09/2020 16:55:58,783;38,608117;-15,617263;30,69056;29,805047;48,334965;27,190613;51,627635;27,759399
18/09/2020 16:55:59,783;38,606729;-15,607244;30,756267;29,880435;48,232079;27,190613;51,576193;27,913737
18/09/2020 16:56:00,783;38,607191;-15,596769;30,822745;29,949364;48,283522;27,190613;51,473308;27,913737
18/09/2020 16:56:01,784;38,603952;-15,582348;30,947395;30,076608;48,129193;27,190613;51,370424;27,965183
18/09/2020 16:56:02,783;38,602718;-15,573998;31,007413;30,134923;48,077749;27,242052;51,524751;28,068076
18/09/2020 16:56:03,783;38,602101;-15,561247;31,065278;30,188162;48,129193;27,242052;51,576193;28,01663
18/09/2020 16:56:04,784;38,60241;-15,54637;31,123451;30,241094;48,437852;28,013637;51,679078;28,119522
18/09/2020 16:56:05,783;38,60133;-15,541967;31,242572;30,367426;47,974863;27,190613;51,627635;28,119522
18/09/2020 16:56:06,783;38,600713;-15,519196;31,303519;30,451752;47,92342;27,293491;51,576193;28,170968
18/09/2020 16:56:07,783;38,599325;-15,502345;31,365852;30,539774;48,026306;27,293491;51,833405;28,27386
18/09/2020 16:56:08,783;38,598708;-15,489745;31,428648;30,629491;47,76909;27,190613;51,833405;28,27386
18/09/2020 16:56:09,784;38,600405;-15,480029;31,490984;30,717364;47,820533;27,242052;51,987732;28,376752
18/09/2020 16:56:10,783;38,60025;-15,452096;31,619506;30,879419;47,717647;27,242052;51,936289;28,376752
18/09/2020 16:56:11,784;38,598245;-15,441317;31,684154;30,953754;47,820533;27,242052;51,936289;28,325306
18/09/2020 16:56:12,783;38,599942;-15,431601;31,748188;31,023936;47,666204;27,139174;51,833405;28,479644
18/09/2020 16:56:13,783;38,599633;-15,420974;31,81253;31,091041;47,717647;27,34493;51,73052;28,428198
18/09/2020 16:56:14,783;38,600096;-15,385753;31,941681;31,215558;47,76909;27,190613;51,679078;28,531091
18/09/2020 16:56:15,783;38,599171;-15,371483;32,002795;31,273893;47,76909;27,242052;51,679078;28,428198
18/09/2020 16:56:16,782;38,599479;-15,359337;32,063448;31,329305;47,717647;27,190613;51,524751;28,582537
18/09/2020 16:56:17,783;38,60025;-15,351139;32,122254;31,379638;47,61476;27,190613;51,370424;28,685429
18/09/2020 16:56:18,784;38,599325;-15,32776;32,230633;31,478613;47,717647;27,242052;51,370424;28,633983
18/09/2020 16:56:19,784;38,598554;-15,319865;32,280822;31,523715;47,61476;27,190613;51,370424;28,685429
18/09/2020 16:56:20,784;38,598708;-15,306961;32,331318;31,562044;47,61476;27,242052;51,164655;28,736875
18/09/2020 16:56:21,783;38,598245;-15,296637;32,384741;31,60376;47,717647;27,190613;51,06177;28,736875
18/09/2020 16:56:22,783;38,600405;-15,279633;32,488972;31,697046;47,666204;27,190613;50,907443;28,839767
18/09/2020 16:56:23,783;38,597165;-15,272953;32,545631;31,74954;47,717647;27,293491;50,907443;28,788321
18/09/2020 16:56:24,782;38,596703;-15,266728;32,606601;31,805421;47,511874;27,293491;50,907443;28,839767
18/09/2020 16:56:25,784;38,595932;-15,260048;32,668035;31,86546;47,511874;27,293491;50,598789;28,942659
18/09/2020 16:56:26,783;38,59624;-15,256708;32,736245;31,933198;47,511874;27,190613;50,495905;28,839767
18/09/2020 16:56:27,782;38,595623;-15,241071;32,882985;32,099468;47,511874;27,242052;50,39302;28,942659
18/09/2020 16:56:28,782;38,595932;-15,236061;32,960592;32,197849;47,357544;27,139174;50,444462;28,994105
