Time;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC]
16/10/2020 14:32:22,308;43,37275;13,041257;21,919351;21,858734;67,368957;22,09815;65,105521;21,637313
16/10/2020 14:32:23,310;43,371359;13,040798;21,919198;21,85812;67,368957;22,09815;65,105521;21,585867
16/10/2020 14:53:30,459;41,745701;12,507457;22,599635;23,084875;69,375242;21,223687;50,39302;21,534421
16/10/2020 14:53:31,458;41,747399;12,508681;22,622508;23,11973;69,529572;21,120809;50,701674;21,431529
16/10/2020 14:53:32,459;41,749561;12,509906;22,63571;23,155046;69,426686;21,120809;50,753116;21,482975
16/10/2020 14:53:33,459;41,752648;12,511284;22,670864;23,227368;69,529572;21,172248;51,164655;21,534421
16/10/2020 14:53:34,458;41,75095;12,512202;22,688825;23,264681;69,735345;21,172248;51,216097;21,534421
16/10/2020 14:53:35,459;41,75234;12,51113;22,708936;23,299999;69,632458;21,275126;51,781962;21,637313
16/10/2020 14:53:36,459;41,753266;12,512661;22,727204;23,337159;69,683902;21,223687;52,142058;21,637313
16/10/2020 14:53:37,458;41,750178;12,512049;22,74363;23,377698;69,735345;21,223687;52,193501;21,637313
16/10/2020 14:53:38,459;41,752031;12,509906;22,797822;23,474595;69,735345;21,06937;52,605039;21,637313
16/10/2020 14:53:39,460;41,753884;12,51113;22,833285;23,538785;69,838231;21,172248;52,707924;21,637313
16/10/2020 14:53:40,459;41,757589;12,510977;22,880569;23,609733;69,941118;21,172248;52,965135;21,740205
16/10/2020 14:53:41,459;41,755427;12,511743;22,93292;23,676844;69,889675;21,172248;53,273789;21,791651
16/10/2020 14:53:42,459;41,758361;12,514498;23,047452;23,808458;69,838231;21,172248;53,273789;21,688759
16/10/2020 14:53:43,459;41,758824;12,515416;23,103797;23,872961;69,838231;21,06937;53,839655;21,791651
16/10/2020 14:53:44,458;41,759905;12,514192;23,157688;23,929633;69,889675;21,120809;53,788212;21,740205
16/10/2020 14:53:45,459;41,759442;12,515416;23,213575;23,98262;70,095447;21,172248;54,199751;21,843098
16/10/2020 14:53:46,459;41,759287;12,516029;23,31445;24,083681;70,044004;21,223687;54,456962;21,791651
16/10/2020 14:53:47,458;41,759596;12,516335;23,363123;24,130834;69,889675;21,120809;54,354078;21,843098
16/10/2020 14:53:48,458;41,762066;12,517253;23,41103;24,17384;69,889675;21,120809;54,662732;21,843098
16/10/2020 14:53:49,458;41,760214;12,514804;23,460165;24,217768;70,044004;21,172248;54,714174;21,94599
16/10/2020 14:53:50,459;41,762529;12,516947;23,543389;24,300558;70,095447;21,172248;54,817059;21,894544
16/10/2020 14:53:51,460;41,759287;12,516794;23,585309;24,339419;70,146891;21,120809;55,07427;21,94599
16/10/2020 14:53:52,458;41,760985;12,520468;23,626923;24,377666;70,146891;21,172248;55,07427;21,94599
16/10/2020 14:53:53,458;41,758052;12,518478;23,667001;24,413303;70,044004;21,172248;55,177155;21,997436
16/10/2020 14:53:54,458;41,758206;12,520009;23,703394;24,44894;69,838231;21,172248;55,537251;21,997436
16/10/2020 14:53:55,458;41,755736;12,518631;23,776336;24,516988;69,941118;21,06937;55,537251;21,94599
16/10/2020 14:53:56,458;41,754192;12,518784;23,816416;24,550322;69,992561;21,120809;55,74302;22,048882
16/10/2020 14:53:57,459;41,75342;12,520162;23,848511;24,582427;69,941118;21,275126;55,640136;22,100328
16/10/2020 14:53:58,458;41,752803;12,518631;23,882143;24,612843;69,941118;21,172248;56,051674;22,151774
16/10/2020 14:53:59,458;41,752648;12,519243;23,952631;24,676901;69,992561;21,120809;56,566097;22,151774
16/10/2020 14:54:00,458;41,752803;12,51909;23,984113;24,704706;69,889675;21,172248;56,514655;22,048882
16/10/2020 14:54:01,458;41,753884;12,517866;24,015442;24,734047;69,889675;21,172248;56,720424;22,151774
16/10/2020 14:54:02,458;41,754655;12,517253;24,045389;24,762774;69,992561;21,223687;56,771866;22,254666
16/10/2020 14:54:03,459;41,755119;12,518478;24,111581;24,815313;69,992561;21,172248;57,08052;22,306112
16/10/2020 14:54:04,460;41,75728;12,51909;24,140914;24,847421;69,889675;21,120809;57,440616;22,409005
16/10/2020 14:54:05,458;41,75867;12,518937;24,173781;24,88168;69,786788;21,172248;57,389174;22,306112
16/10/2020 14:54:06,458;41,75728;12,517253;24,205111;24,925925;69,683902;21,172248;57,492059;22,306112
16/10/2020 14:54:07,458;41,754038;12,517866;24,268542;25,03024;69,786788;21,06937;57,440616;22,357559
16/10/2020 14:54:08,458;41,755119;12,516488;24,299566;25,085088;69,786788;21,172248;57,646386;22,460451
16/10/2020 14:54:09,458;41,756971;12,516947;24,331359;25,137786;69,786788;21,172248;57,852155;22,460451
16/10/2020 14:54:10,459;41,75728;12,516947;24,359926;25,189409;69,838231;21,172248;57,800713;22,357559
16/10/2020 14:54:11,459;41,751722;12,515416;24,392948;25,23796;69,683902;21,172248;57,95504;22,563343
16/10/2020 14:54:12,458;41,753112;12,512967;24,452081;25,326614;69,889675;21,120809;57,903597;22,563343
16/10/2020 14:54:13,459;41,751413;12,514039;24,483261;25,366255;69,786788;21,120809;58,057924;22,563343
16/10/2020 14:54:14,459;41,749869;12,511896;24,514287;25,403899;69,786788;21,223687;58,057924;22,666235
16/10/2020 14:54:15,458;41,749252;12,513886;24,544085;25,440929;69,735345;21,172248;58,006482;22,511897
16/10/2020 14:54:16,458;41,750178;12,512814;24,603375;25,508998;69,786788;21,223687;58,212251;22,666235
16/10/2020 14:54:17,459;41,750333;12,513886;24,636092;25,540805;69,735345;21,172248;58,109366;22,717681
16/10/2020 14:54:18,458;41,751876;12,516641;24,662665;25,574764;69,735345;21,06937;58,160809;22,820573
16/10/2020 14:54:19,459;41,751568;12,516182;24,691543;25,611181;69,786788;21,172248;58,057924;22,717681
16/10/2020 14:54:20,458;41,752803;12,51511;24,748223;25,709833;69,735345;21,172248;58,006482;22,769127
16/10/2020 14:54:21,459;41,753729;12,516182;24,777562;25,759006;69,786788;21,223687;58,057924;22,87202
16/10/2020 14:54:22,459;41,752957;12,516947;24,811357;25,809255;69,786788;21,120809;58,160809;22,923466
16/10/2020 14:54:23,459;41,752185;12,516641;24,86128;25,861964;69,941118;21,172248;58,057924;22,923466
16/10/2020 14:54:24,459;41,753112;12,515569;24,918117;25,910986;69,941118;21,06937;58,057924;22,820573
16/10/2020 14:54:25,459;41,753575;12,516947;25,04347;26,010415;69,992561;21,172248;58,006482;22,923466
