Time;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC]
22/10/2020 17:29:55,548;38,047328;15,420276;25,781853;25,522981;57,543302;26,367589;56,926193;25,753001
22/10/2020 17:32:19,548;38,027434;15,56;27,498154;27,142143;56,257221;26,367589;49,312731;26,267462
22/10/2020 17:32:20,549;38,0262;15,557702;27,529054;27,160591;56,257221;26,419028;49,261289;26,267462
22/10/2020 17:32:21,549;38,02435;15,552033;27,582554;27,19103;56,360108;26,367589;49,261289;26,318908
22/10/2020 17:32:22,548;38,022808;15,54759;27,610227;27,207633;56,360108;26,419028;49,312731;26,216016
22/10/2020 17:32:23,548;38,019723;15,54376;27,638361;27,22439;56,308664;26,470467;49,364174;26,267462
22/10/2020 17:32:24,547;38,01849;15,539317;27,665112;27,246221;56,308664;26,367589;49,415616;26,318908
22/10/2020 17:32:25,548;38,014943;15,531044;27,717846;27,299414;56,257221;26,31615;49,415616;26,267462
22/10/2020 17:32:26,547;38,012167;15,527214;27,742137;27,333236;56,308664;26,419028;49,364174;26,318908
22/10/2020 17:32:27,549;38,012321;15,52369;27,766122;27,369519;56,308664;26,367589;49,415616;26,318908
22/10/2020 17:32:28,548;38,010162;15,520319;27,78903;27,409184;56,462994;26,367589;49,518501;26,370354
22/10/2020 17:32:29,547;38,007386;15,517561;27,812092;27,445775;56,360108;26,367589;49,415616;26,370354
22/10/2020 17:32:30,549;38,006152;15,514804;27,855449;27,514654;56,411551;26,367589;49,467058;26,370354
22/10/2020 17:32:31,547;38,006461;15,512965;27,876513;27,545711;56,514437;26,419028;49,569943;26,4218
22/10/2020 17:32:32,549;38,00569;15,512352;27,896654;27,574769;56,462994;26,367589;49,467058;26,370354
22/10/2020 17:32:33,548;38,006923;15,510054;27,918487;27,601061;56,462994;26,419028;49,467058;26,370354
22/10/2020 17:32:34,549;38,005844;15,507143;27,957694;27,650262;56,462994;26,470467;49,72427;26,4218
22/10/2020 17:32:35,549;38,008465;15,506071;27,978451;27,674709;56,411551;26,367589;49,621385;26,370354
22/10/2020 17:32:36,549;38,005381;15,504692;28,000899;27,697926;56,411551;26,470467;49,878597;26,524693
22/10/2020 17:32:37,549;38,00569;15,503926;28,017659;27,718683;56,565881;26,419028;49,981481;26,576139
22/10/2020 17:32:38,547;38,005073;15,498717;28,056406;27,761735;56,462994;26,419028;49,930039;26,473247
22/10/2020 17:32:39,548;38,001371;15,498104;28,074857;27,78403;56,514437;26,470467;50,032924;26,627585
22/10/2020 17:32:40,547;38,000755;15,495346;28,09177;27,812322;56,514437;26,470467;50,032924;26,524693
22/10/2020 17:32:41,548;37,998904;15,494887;28,110222;27,846304;56,514437;26,470467;50,238693;26,576139
22/10/2020 17:32:42,548;37,999212;15,491057;28,148201;27,915959;56,462994;26,419028;50,135808;26,627585
22/10/2020 17:32:43,549;37,997516;15,488452;28,163885;27,949788;56,462994;26,419028;50,135808;26,627585
22/10/2020 17:32:44,549;37,99767;15,486614;28,180338;27,979927;56,617324;26,470467;50,238693;26,627585
22/10/2020 17:32:45,548;37,995511;15,482937;28,196483;28,010065;56,565881;26,419028;50,238693;26,627585
22/10/2020 17:32:46,549;37,994894;15,480792;28,214166;28,038052;56,462994;26,367589;50,238693;26,679031
22/10/2020 17:32:47,548;37,990885;15,477728;28,245534;28,085875;56,462994;26,419028;50,290135;26,627585
22/10/2020 17:32:48,549;37,991193;15,477268;28,261526;28,10725;56,411551;26,419028;50,187251;26,730477
22/10/2020 17:32:49,549;37,990422;15,474357;28,275519;28,127241;56,462994;26,419028;50,187251;26,730477
22/10/2020 17:32:50,548;37,989805;15,473591;28,292126;28,148154;56,514437;26,419028;50,135808;26,730477
22/10/2020 17:32:51,548;37,989034;15,46731;28,324572;28,203668;56,411551;26,419028;50,238693;26,730477
22/10/2020 17:32:52,547;37,987183;15,477115;28,337181;28,233963;56,514437;26,470467;50,187251;26,730477
22/10/2020 17:32:53,549;37,991964;15,489984;28,350406;28,26518;56,360108;26,367589;50,084366;26,730477
22/10/2020 17:32:54,547;38,000138;15,502547;28,366705;28,293015;56,360108;26,367589;50,187251;26,730477
22/10/2020 17:32:55,548;38,033449;15,554331;28,392693;28,345917;56,462994;26,419028;50,187251;26,781923
22/10/2020 17:32:56,547;38,051184;15,580684;28,407148;28,371599;56,411551;26,31615;50,238693;26,730477
22/10/2020 17:32:57,548;38,071387;15,615463;28,420834;28,393898;56,514437;26,470467;50,032924;26,730477
