time;sensor_PT100_1;sensor_PT100_2;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2
15:55:24,286;39,639096;20,484692;36,150192;30,974532;52,347537;28,579466;46,740616;29,251336
15:55:25,287;39,637245;20,482851;36,182251;31,005313;52,296093;28,579466;46,689174;29,148444
15:55:26,286;39,637862;20,484079;36,215236;31,036402;52,450423;28,630905;46,637731;29,148444
15:55:27,285;39,63601;20,483618;36,278123;31,09966;52,347537;28,579466;46,586289;29,148444
15:55:28,285;39,637399;20,482544;36,307717;31,134136;52,24465;28,630905;46,586289;29,251336
15:55:29,285;39,63925;20,484385;36,339316;31,165535;52,347537;28,682344;46,586289;29,19989
15:55:30,286;39,63817;20,484385;36,370606;31,195241;52,296093;28,630905;46,637731;29,19989
15:55:31,286;39,638788;20,48684;36,43103;31,257885;52,296093;28,579466;46,792058;29,251336
15:55:32,286;39,639096;20,487454;36,459855;31,292517;52,296093;28,630905;46,740616;29,251336
15:55:33,286;39,640485;20,486994;36,489759;31,329305;52,347537;28,630905;46,689174;29,251336
15:55:34,285;39,642336;20,48684;36,516889;31,367939;52,24465;28,528027;46,946385;29,19989
15:55:35,286;39,641411;20,489602;36,571149;31,453215;52,296093;28,579466;46,946385;29,302782
15:55:36,285;39,641719;20,490062;36,598126;31,496777;52,347537;28,425149;46,894943;29,302782
15:55:37,286;39,641719;20,489756;36,624177;31,540185;52,347537;28,528027;47,04927;29,302782
15:55:38,286;39,640793;20,489602;36,651617;31,5799;52,296093;28,579466;46,894943;29,302782
15:55:39,286;39,640639;20,487761;36,675973;31,621155;52,347537;28,682344;47,100712;29,302782
15:55:40,286;39,639405;20,487147;36,722836;31,69289;52,347537;28,630905;47,203597;29,405674
15:55:41,286;39,638788;20,485459;36,744572;31,725833;52,296093;28,630905;47,203597;29,354228
15:55:42,287;39,638016;20,483618;36,766617;31,755698;52,347537;28,630905;47,357924;29,405674
15:55:43,286;39,637245;20,482851;36,787583;31,786332;52,347537;28,528027;47,357924;29,405674
15:55:44,286;39,632616;20,482544;36,828435;31,839751;52,450423;28,579466;47,255039;29,45712
15:55:45,287;39,632153;20,480243;36,852485;31,864844;52,553309;28,682344;47,357924;29,45712
15:55:46,286;39,631536;20,482237;36,875455;31,887475;52,553309;28,630905;47,357924;29,508566
15:55:47,286;39,634776;20,483311;36,901046;31,911645;52,604753;28,630905;47,357924;29,560013
15:55:48,287;39,63601;20,485766;36,954696;31,952596;52,604753;28,682344;47,357924;29,560013
15:55:49,286;39,63817;20,485153;36,984605;31,971993;52,707639;28,630905;47,409366;29,560013
15:55:50,286;39,638942;20,488528;37,016827;31,992315;52,656196;28,528027;47,152154;29,560013
15:55:51,287;39,638016;20,487761;37,05429;32,012483;52,604753;28,579466;47,255039;29,611459
