Time;Tempo de processo;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC]
14:55:45;0,88;37,464276;17,888825;27,935246;28,583832;61,298657;26,31615;51,73052;26,627585
14:55:46;0,90;37,463043;17,890358;27,968149;28,620743;61,247214;26,31615;51,73052;26,627585
14:55:47;0,92;37,464276;17,891585;28,037032;28,693798;61,401543;26,367589;51,987732;26,576139
14:55:48;0,93;37,462888;17,890665;28,069014;28,728558;61,3501;26,31615;52,142058;26,627585
14:55:49;0,95;37,465972;17,892198;28,103149;28,765009;61,247214;26,264711;52,090616;26,627585
14:55:50;0,97;37,46551;17,892351;28,135439;28,79977;61,19577;26,264711;52,193501;26,730477
14:55:51;0,98;37,46551;17,891125;28,197559;28,869906;61,092884;26,31615;52,193501;26,781923
14:55:52;1,00;37,464893;17,892351;28,228466;28,90559;61,144327;26,31615;52,347828;26,781923
14:55:53;1,02;37,464276;17,893118;28,259374;28,937429;61,092884;26,31615;52,347828;26,833369
14:55:54;1,03;37,465201;17,893271;28,28859;28,970038;61,144327;26,367589;52,553597;26,781923
14:55:55;1,05;37,465355;17,891278;28,345946;29,032487;61,19577;26,264711;52,605039;26,833369
14:55:56;1,07;37,465047;17,892045;28,373779;29,061405;61,247214;26,213272;52,553597;26,781923
14:55:57;1,08;37,465664;17,890665;28,401151;29,089708;61,144327;26,264711;52,810809;26,936261
14:55:58;1,10;37,466435;17,889745;28,428523;29,115396;61,144327;26,31615;52,810809;26,936261
14:55:59;1,12;37,465972;17,890358;28,455895;29,142315;61,092884;26,213272;52,965135;26,987708
14:56:00;1,13;37,466126;17,889592;28,504489;29,194615;61,144327;26,31615;52,965135;26,936261
14:56:01;1,15;37,46736;17,889285;28,530016;29,221842;61,144327;26,367589;53,016578;26,884815
14:56:02;1,17;37,468131;17,888672;28,552622;29,246915;61,144327;26,367589;53,222347;27,039154
14:56:03;1,18;37,467823;17,887752;28,578458;29,27122;61,19577;26,31615;53,119462;26,987708
14:56:04;1,20;37,469364;17,887905;28,625208;29,319369;61,144327;26,264711;53,479559;27,039154
14:56:05;1,22;37,469981;17,888365;28,648891;29,343366;61,19577;26,31615;53,222347;27,0906
14:56:06;1,23;37,470598;17,888365;28,670575;29,366287;61,19577;26,31615;53,222347;27,142046
14:56:07;1,25;37,471061;17,888825;28,695181;29,38767;61,144327;26,264711;53,222347;27,0906
14:56:08;1,27;37,471677;17,889285;28,748084;29,432744;61,19577;26,213272;53,428116;27,193492
14:56:09;1,28;37,476766;17,891431;28,775613;29,460896;61,041441;26,213272;53,428116;27,244938
14:56:10;1,30;37,475995;17,892505;28,806679;29,489971;61,092884;26,31615;53,325232;27,296384
14:56:11;1,32;37,47877;17,893271;28,839745;29,523508;61,092884;26,31615;53,325232;27,244938
14:56:12;1,33;37,47985;17,895724;28,919104;29,604583;61,144327;26,31615;53,428116;27,244938
14:56:13;1,35;37,478924;17,895111;28,96832;29,653505;61,19577;26,31615;53,633885;27,34783
14:56:14;1,37;37,47985;17,897411;29,021843;29,701044;61,19577;26,367589;53,531001;27,296384
14:56:15;1,38;37,480004;17,896337;29,075213;29,749045;61,144327;26,31615;53,788212;27,450722
14:56:16;1,40;37,480004;17,897104;29,128738;29,798431;61,144327;26,264711;53,993982;27,502169
14:56:17;1,42;37,478462;17,896491;29,228099;29,888128;61,144327;26,264711;54,251193;27,553615
14:56:18;1,43;37,479079;17,894344;29,275781;29,929516;61,144327;26,213272;54,611289;27,810845
14:56:19;1,45;37,477382;17,894191;29,320849;29,967058;61,19577;26,31615;54,611289;27,502169
14:56:20;1,47;37,475995;17,893271;29,364995;30,002599;61,19577;26,31615;55,07427;27,605061
14:56:21;1,48;37,473836;17,891431;29,450058;30,070145;61,247214;26,31615;55,382924;27,605061
14:56:22;1,50;37,473219;17,890511;29,494205;30,100765;61,19577;26,31615;55,537251;27,605061
14:56:23;1,52;37,472602;17,890818;29,533431;30,132154;61,247214;26,31615;55,845905;27,707953
14:56:24;1,53;37,473065;17,888212;29,576041;30,159388;61,298657;26,367589;55,845905;27,707953
14:56:25;1,55;37,473836;17,888672;29,649726;30,213243;61,298657;26,367589;56,051674;27,707953
14:56:26;1,57;37,473065;17,890051;29,687569;30,240171;61,247214;26,264711;56,206001;27,810845
14:56:27;1,58;37,473219;17,890665;29,720797;30,264482;61,247214;26,367589;56,257443;27,913737
14:56:28;1,60;37,473682;17,890971;29,75541;30,287102;61,247214;26,31615;56,308886;27,810845
14:56:29;1,62;37,475995;17,891585;29,815561;30,329264;61,247214;26,31615;56,41177;27,810845
14:56:30;1,63;37,476149;17,892964;29,84479;30,350499;61,19577;26,367589;56,308886;27,965183
14:56:31;1,65;37,477382;17,893271;29,875712;30,368657;61,298657;26,367589;56,360328;27,965183
14:56:32;1,67;37,475995;17,893118;29,904789;30,387584;61,144327;26,31615;56,360328;27,965183
14:56:33;1,68;37,47692;17,894344;29,931558;30,406049;61,247214;26,31615;56,308886;28,01663
14:56:34;1,70;37,477074;17,894651;29,981865;30,439442;61,298657;26,31615;56,360328;27,965183
14:56:35;1,72;37,477382;17,895111;30,002173;30,456984;61,247214;26,31615;56,308886;27,913737
14:56:36;1,73;37,477691;17,894498;30,02525;30,470526;61,19577;26,31615;56,41177;28,170968
14:56:37;1,75;37,476457;17,894804;30,043559;30,486838;61,247214;26,264711;56,257443;27,965183
14:56:38;1,77;37,476457;17,893578;30,08079;30,519307;61,3501;26,367589;56,360328;28,119522
14:56:39;1,78;37,476611;17,892964;30,098791;30,536389;61,3501;26,31615;56,206001;28,068076
14:56:40;1,80;37,474915;17,891125;30,113253;30,551316;61,298657;26,264711;56,206001;28,068076
14:56:41;1,82;37,474915;17,890971;30,128331;30,566397;61,3501;26,367589;56,257443;28,222414
14:56:42;1,83;37,473065;17,889898;30,159256;30,595174;61,298657;26,264711;56,103116;28,119522
14:56:43;1,85;37,472602;17,886679;30,172949;30,607793;61,19577;26,31615;56,206001;28,119522
14:56:44;1,87;37,471986;17,885759;30,185257;30,618873;61,19577;26,31615;56,308886;28,170968
14:56:45;1,88;37,470752;17,885605;30,196335;30,63103;61,247214;26,31615;56,360328;28,170968
14:56:46;1,90;37,469519;17,884532;30,219721;30,653652;61,247214;26,367589;56,308886;28,222414
14:56:47;1,92;37,467977;17,885299;30,231261;30,665194;61,298657;26,31615;56,41177;28,170968
14:56:48;1,93;37,469827;17,885145;30,241108;30,675812;61,3501;26,31615;56,360328;28,222414
14:56:49;1,95;37,468902;17,883152;30,251262;30,687816;61,298657;26,264711;56,257443;28,27386
14:56:50;1,97;37,470752;17,882692;30,26434;30,701205;61,19577;26,31615;56,308886;28,376752
14:56:51;1,98;37,467823;17,882999;30,293112;30,727675;61,247214;26,367589;56,308886;28,27386
14:56:52;2,00;37,468593;17,881466;30,309883;30,738755;61,247214;26,367589;56,360328;28,27386
14:56:53;2,02;37,468131;17,880699;30,324193;30,751067;61,298657;26,31615;56,308886;28,376752
14:56:54;2,03;37,467514;17,880086;30,340041;30,764764;61,19577;26,367589;56,566097;28,325306
14:56:55;2,05;37,467668;17,879779;30,372044;30,786925;61,401543;26,31615;56,514655;28,428198
14:56:56;2,07;37,466589;17,881926;30,385431;30,796467;61,298657;26,31615;56,463213;28,325306
14:56:57;2,08;37,467977;17,880853;30,400356;30,805547;61,3501;26,31615;56,514655;28,325306
14:56:58;2,10;37,468748;17,882079;30,412973;30,813088;61,401543;26,264711;56,463213;28,376752
14:56:59;2,12;37,467668;17,883152;30,437899;30,83094;61,298657;26,31615;56,617539;28,376752
14:57:00;2,13;37,46921;17,883152;30,451132;30,838943;61,19577;26,31615;56,566097;28,479644
14:57:01;2,15;37,470135;17,885605;30,463134;30,847253;61,247214;26,31615;56,668982;28,376752
14:57:02;2,17;37,471369;17,887752;30,475751;30,853563;61,247214;26,31615;56,617539;28,479644
14:57:03;2,18;37,474607;17,887598;30,487137;30,861412;61,298657;26,31615;56,566097;28,479644
14:57:04;2,20;37,477382;17,892658;30,512064;30,881727;61,298657;26,419028;56,874751;28,531091
14:57:05;2,22;37,479541;17,894804;30,526374;30,896656;61,144327;26,31615;56,771866;28,479644
14:57:06;2,23;37,480158;17,896491;30,539915;30,911738;61,144327;26,264711;56,771866;28,582537
14:57:07;2,25;37,47877;17,897411;30,555303;30,928052;61,092884;26,31615;56,977636;28,531091
14:57:08;2,27;37,480775;17,897871;30,586847;30,959603;61,144327;26,31615;56,874751;28,479644
14:57:09;2,28;37,480775;17,898331;30,602542;30,977456;61,144327;26,31615;57,08052;28,582537
14:57:10;2,30;37,481083;17,898331;30,619622;30,993616;61,19577;26,367589;57,029078;28,479644
14:57:11;2,32;37,483396;17,899097;30,635779;31,011315;61,19577;26,31615;57,08052;28,582537
14:57:12;2,33;37,482625;17,898637;30,667786;31,045175;61,144327;26,264711;57,183405;28,582537
14:57:13;2,35;37,482317;17,899404;30,686405;31,061336;61,19577;26,264711;57,234847;28,582537
14:57:14;2,37;37,483088;17,89879;30,703332;31,077343;61,041441;26,264711;57,337732;28,685429
14:57:15;2,38;37,482625;17,900477;30,720721;31,093349;61,144327;26,31615;57,234847;28,582537
14:57:16;2,40;37,482162;17,900477;30,752882;31,121669;61,092884;26,367589;57,440616;28,633983
14:57:17;2,42;37,482162;17,901397;30,766577;31,134444;61,19577;26,419028;57,594943;28,633983
14:57:18;2,43;37,482779;17,900784;30,782274;31,146757;61,144327;26,31615;57,697828;28,633983
14:57:19;2,45;37,482471;17,90063;30,798278;31,159994;61,19577;26,31615;57,74927;28,685429
14:57:20;2,47;37,482008;17,901703;30,815205;31,173385;61,144327;26,31615;57,800713;28,633983
14:57:21;2,48;37,482779;17,901703;30,843982;31,198627;61,144327;26,213272;57,903597;28,736875
14:57:22;2,50;37,483396;17,903237;30,859832;31,211402;61,144327;26,264711;58,006482;28,685429
14:57:23;2,52;37,483242;17,902163;30,87399;31,223561;61,092884;26,264711;58,057924;28,685429
14:57:24;2,53;37,482008;17,902163;30,888147;31,235721;61,144327;26,31615;58,263693;28,736875
14:57:25;2,55;37,480775;17,899864;30,914155;31,256654;61,144327;26,367589;58,263693;28,685429
14:57:26;2,57;37,479387;17,899557;30,926158;31,266659;61,092884;26,31615;58,41802;28,736875
14:57:27;2,58;37,478616;17,898484;30,938931;31,27651;61,19577;26,31615;58,41802;28,788321
14:57:28;2,60;37,477691;17,896951;30,951704;31,285129;61,144327;26,31615;58,520905;28,891213
14:57:29;2,62;37,475995;17,896184;30,976481;31,304831;61,144327;26,31615;58,520905;28,685429
14:57:30;2,63;37,475686;17,894038;30,986176;31,311604;61,092884;26,264711;58,675232;28,685429
14:57:31;2,65;37,475995;17,893578;30,997256;31,321455;61,092884;26,31615;58,520905;28,839767
14:57:32;2,67;37,474761;17,892351;31,010337;31,328073;61,092884;26,31615;58,675232;28,736875
14:57:33;2,68;37,474144;17,891278;31,032806;31,343158;61,092884;26,31615;58,726674;28,788321
14:57:34;2,70;37,473682;17,890665;31,042501;31,352085;61,144327;26,367589;58,726674;28,839767
14:57:35;2,72;37,471832;17,889438;31,054967;31,361629;61,144327;26,31615;58,932443;28,788321
14:57:36;2,73;37,471986;17,889285;31,066047;31,369787;61,247214;26,31615;58,983886;28,839767
14:57:37;2,75;37,471061;17,888518;31,076512;31,378098;61,144327;26,31615;58,881001;28,788321
14:57:38;2,77;37,47029;17,886985;31,100059;31,394261;61,144327;26,31615;58,932443;28,891213
14:57:39;2,78;37,469519;17,886985;31,11314;31,405189;61,092884;26,264711;59,08677;28,839767
14:57:40;2,80;37,469364;17,885759;31,12499;31,411808;61,041441;26,367589;59,241097;28,891213
14:57:41;2,82;37,469827;17,887905;31,137148;31,42012;61,041441;26,367589;59,241097;28,839767
14:57:42;2,83;37,473065;17,890358;31,158695;31,431973;60,989998;26,31615;59,343982;28,839767
14:57:43;2,85;37,471523;17,891585;31,167929;31,438438;61,041441;27,036296;59,549751;28,891213
14:57:44;2,87;37,472602;17,892505;31,175932;31,44521;61,092884;26,31615;59,395424;28,942659
14:57:45;2,88;37,473836;17,894498;31,187013;31,449828;61,041441;26,31615;59,652636;28,891213
14:57:46;2,90;37,474915;17,897104;31,20625;31,45968;60,938554;26,573345;59,601193;28,942659
14:57:47;2,92;37,475841;17,898177;31,213792;31,460911;60,938554;26,31615;59,806963;28,891213
14:57:48;2,93;37,476766;17,898331;31,225181;31,466453;60,989998;26,367589;60,167059;29,148444
14:57:49;2,95;37,477999;17,898484;31,236723;31,470147;60,938554;26,31615;60,115617;28,942659
14:57:50;2,97;37,479541;17,901703;31,263657;31,480614;61,041441;26,31615;60,115617;28,942659
14:57:51;2,98;37,477999;17,902623;31,277508;31,487079;60,989998;26,31615;60,218501;28,942659
