Time;PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
15/10/2020 14:49:28,620;39,405197;17,446845;30,137562;30,328956;68,449264;24,824418;55,434366;26,987708;
15/10/2020 14:49:29,620;39,406122;17,446079;30,160025;30,348191;68,500708;24,875857;55,331482;26,884815;
15/10/2020 14:49:30,620;39,403962;17,445159;30,200797;30,376505;68,552151;24,875857;55,228597;27,039154;
15/10/2020 14:49:31,622;39,404579;17,445312;30,226183;30,390661;68,449264;24,875857;55,177155;26,936261;
15/10/2020 14:49:32,620;39,406431;17,445159;30,251878;30,407434;68,809367;24,978735;56,000232;27,039154;
15/10/2020 14:49:33,622;39,408745;17,446692;30,275111;30,4239;68,809367;24,875857;55,07427;27,039154;
15/10/2020 14:49:34,621;39,408128;17,449298;30,323269;30,456676;69,01514;24,927296;55,07427;27,142046;
15/10/2020 14:49:35,620;39,410751;17,450524;30,347888;30,472834;69,066583;24,875857;55,125712;27,039154;
15/10/2020 14:49:36,621;39,410288;17,449451;30,37266;30,491454;69,169469;24,824418;55,07427;27,0906;
15/10/2020 14:49:37,621;39,413836;17,45313;30,39774;30,51546;69,118026;24,772979;55,07427;27,039154;
15/10/2020 14:49:38,620;39,415533;17,453437;30,4459;30,569936;69,118026;24,824418;55,280039;27,0906;
15/10/2020 14:49:39,620;39,419082;17,456349;30,46975;30,60056;69,169469;24,824418;55,382924;27,142046;
15/10/2020 14:49:40,620;39,417848;17,457116;30,492677;30,633031;69,118026;24,824418;55,485809;27,142046;
15/10/2020 14:49:41,620;39,420008;17,458649;30,515757;30,66227;68,963697;24,772979;55,588693;27,193492;
15/10/2020 14:49:42,620;39,422939;17,461255;30,538684;30,693202;68,809367;24,772979;55,74302;27,296384;
15/10/2020 14:49:43,620;39,426333;17,464781;30,588539;30,755992;68,809367;24,875857;55,74302;27,244938;
15/10/2020 14:49:44,620;39,427568;17,464781;30,614698;30,78477;68,706481;24,875857;56,103116;27,296384;
15/10/2020 14:49:45,621;39,428956;17,46708;30,640088;30,811395;68,655037;24,875857;56,051674;27,296384;
15/10/2020 14:49:46,621;39,432196;17,46708;30,664554;30,837865;68,603594;24,927296;56,308886;27,296384;
