Time;Hora;Tempo (min);PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
18/08/2020 15:12:57,069;15:12:57;23,38;34,574416;-49,077729;33,971186;31,38718;77,400385;21,06937;82,287252;27,913737;
18/08/2020 15:12:58,069;15:12:58;23,40;34,574262;-49,081788;33,971956;31,389027;77,400385;21,01793;82,441579;27,965183;
18/08/2020 15:12:59,070;15:12:59;23,42;34,575032;-49,07337;33,973497;31,388104;77,451828;20,966491;82,493021;27,965183;
18/08/2020 15:13:00,070;15:13:00;23,43;34,574724;-49,091709;33,975807;31,388873;77,451828;20,915052;82,390137;28,01663;
18/08/2020 15:13:01,070;15:13:01;23,45;34,575494;-49,075775;33,975191;31,388565;77,451828;21,06937;82,390137;27,965183;
18/08/2020 15:13:02,070;15:13:02;23,47;34,57534;-49,065853;33,977964;31,389797;77,348941;21,01793;82,338694;28,01663;
18/08/2020 15:13:03,071;15:13:03;23,48;34,573645;-49,070814;33,97935;31,390566;77,348941;21,06937;82,441579;27,913737;
18/08/2020 15:13:04,070;15:13:04;23,50;34,576573;-49,063599;33,981814;31,390566;77,348941;20,966491;82,338694;27,965183;
18/08/2020 15:13:05,070;15:13:05;23,52;34,57534;-49,052474;33,98166;31,392106;77,400385;20,966491;82,338694;28,01663;
18/08/2020 15:13:06,070;15:13:06;23,53;34,57534;-49,04571;33,982739;31,393183;77,451828;21,06937;82,441579;28,01663;
18/08/2020 15:13:07,070;15:13:07;23,55;34,575032;-49,05052;33,983047;31,39149;77,451828;21,06937;82,441579;27,965183;
18/08/2020 15:13:08,070;15:13:08;23,57;34,57611;-49,054429;33,983047;31,392721;77,451828;21,01793;82,390137;27,913737;
18/08/2020 15:13:09,069;15:13:09;23,58;34,576573;-49,062095;33,981506;31,393799;77,503271;20,966491;82,338694;28,01663;
18/08/2020 15:13:10,070;15:13:10;23,60;34,577805;-49,062095;33,983201;31,394876;77,451828;21,06937;82,441579;28,01663;
18/08/2020 15:13:11,070;15:13:11;23,62;34,576727;-49,060742;33,982585;31,396262;77,451828;21,06937;82,390137;27,965183;
18/08/2020 15:13:12,070;15:13:12;23,63;34,579038;-49,064951;33,982893;31,396723;77,503271;20,966491;82,390137;27,913737;
18/08/2020 15:13:13,070;15:13:13;23,65;34,578729;-49,057586;33,984587;31,397493;77,451828;21,06937;82,338694;28,068076;
18/08/2020 15:13:14,070;15:13:14;23,67;34,579346;-49,061494;33,983971;31,398571;77,503271;21,06937;82,390137;27,965183;
18/08/2020 15:13:15,070;15:13:15;23,68;34,579962;-49,064801;33,985357;31,397955;77,400385;20,966491;82,338694;28,01663;
18/08/2020 15:13:16,071;15:13:16;23,70;34,580578;-49,066004;33,986589;31,397493;77,348941;21,01793;82,390137;27,965183;
18/08/2020 15:13:17,071;15:13:17;23,72;34,579192;-49,056533;33,987051;31,398417;77,503271;21,01793;82,338694;27,965183;
18/08/2020 15:13:18,071;15:13:18;23,73;34,581502;-49,061344;33,98813;31,398724;77,400385;21,01793;82,493021;27,965183;
18/08/2020 15:13:19,071;15:13:19;23,75;34,581811;-49,053226;33,98967;31,397955;77,451828;20,966491;82,338694;28,01663;
18/08/2020 15:13:20,071;15:13:20;23,77;34,58104;-49,048867;33,990902;31,398571;77,451828;20,915052;82,287252;27,965183;
18/08/2020 15:13:21,070;15:13:21;23,78;34,581657;-49,045108;33,992288;31,397647;77,400385;21,01793;82,390137;28,068076;
18/08/2020 15:13:22,069;15:13:22;23,80;34,580424;-49,033082;33,992751;31,397801;77,400385;21,06937;82,441579;28,01663;
18/08/2020 15:13:23,071;15:13:23;23,82;34,581811;-49,035488;33,992597;31,397801;77,348941;20,966491;82,441579;28,068076;
18/08/2020 15:13:24,070;15:13:24;23,83;34,582273;-49,048566;33,995215;31,401495;77,400385;20,966491;82,23581;27,965183;
18/08/2020 15:13:25,070;15:13:25;23,85;34,581657;-49,043756;33,993675;31,400264;77,503271;20,966491;82,338694;28,068076;
18/08/2020 15:13:26,070;15:13:26;23,87;34,583197;-49,032331;33,996139;31,403188;77,451828;21,01793;82,595906;28,01663;
18/08/2020 15:13:27,071;15:13:27;23,88;34,583351;-49,028272;33,997063;31,402573;77,451828;21,01793;82,544464;28,01663;
18/08/2020 15:13:28,070;15:13:28;23,90;34,581502;-49,029775;33,99768;31,40442;77,451828;21,06937;82,493021;28,068076;
18/08/2020 15:13:29,070;15:13:29;23,92;34,582581;-49,030076;33,999374;31,404728;77,451828;20,966491;82,493021;27,965183;
18/08/2020 15:13:30,071;15:13:30;23,93;34,583351;-49,054278;34,000914;31,405959;77,400385;21,01793;82,544464;27,965183;
18/08/2020 15:13:31,070;15:13:31;23,95;34,583659;-49,042403;34,00076;31,405959;77,451828;21,06937;82,595906;27,965183;
18/08/2020 15:13:32,070;15:13:32;23,97;34,584738;-49,026017;34,002146;31,406575;77,400385;21,01793;82,441579;28,01663;
18/08/2020 15:13:33,070;15:13:33;23,98;34,583043;-49,025867;34,002763;31,406729;77,400385;21,01793;82,441579;28,068076;
18/08/2020 15:13:34,069;15:13:34;24,00;34,582273;-49,031429;34,002455;31,408422;77,451828;21,06937;82,595906;27,965183;
18/08/2020 15:13:35,071;15:13:35;24,02;34,582735;-49,027069;34,002917;31,409038;77,451828;21,06937;82,544464;28,01663;
18/08/2020 15:13:36,071;15:13:36;24,03;34,585046;-49,023311;34,003071;31,409961;77,400385;20,966491;82,544464;27,965183;
18/08/2020 15:13:37,070;15:13:37;24,05;34,584276;-49,030226;34,001838;31,410115;77,451828;21,06937;82,493021;28,068076;
18/08/2020 15:13:38,071;15:13:38;24,07;34,583043;-49,024514;34,002917;31,412732;77,451828;20,966491;82,595906;28,01663;
18/08/2020 15:13:39,070;15:13:39;24,08;34,582889;-49,021507;34,002609;31,413194;77,451828;21,01793;82,544464;28,068076;
18/08/2020 15:13:40,070;15:13:40;24,10;34,584121;-49,024514;34,002609;31,413809;77,503271;21,01793;82,441579;27,965183;
18/08/2020 15:13:41,069;15:13:41;24,12;34,583813;-49,023311;34,003071;31,415964;77,400385;21,06937;82,595906;28,01663;
18/08/2020 15:13:42,069;15:13:42;24,13;34,584121;-49,025265;34,002917;31,417196;77,400385;20,966491;82,544464;27,965183;
18/08/2020 15:13:43,069;15:13:43;24,15;34,584892;-49,041801;34,003995;31,419505;77,451828;20,966491;82,493021;27,965183;
18/08/2020 15:13:44,070;15:13:44;24,17;34,585046;-49,044808;34,005227;31,422121;77,503271;21,06937;82,544464;28,01663;
18/08/2020 15:13:45,070;15:13:45;24,18;34,584892;-49,049017;34,006305;31,422583;77,451828;21,01793;82,493021;28,068076;
18/08/2020 15:13:46,070;15:13:46;24,20;34,585816;-49,015043;34,008;31,422583;77,451828;21,120809;82,647348;28,068076;
18/08/2020 15:13:47,070;15:13:47;24,22;34,585816;-49,011886;34,01031;31,425662;77,348941;21,01793;82,493021;28,068076;
18/08/2020 15:13:48,070;15:13:48;24,23;34,586124;-49,014742;34,012621;31,426739;77,348941;20,966491;82,493021;28,01663;
18/08/2020 15:13:49,071;15:13:49;24,25;34,586278;-49,017749;34,012467;31,427663;77,451828;21,01793;82,544464;28,068076;
18/08/2020 15:13:50,070;15:13:50;24,27;34,586278;-49,017298;34,014469;31,428894;77,503271;21,01793;82,544464;28,068076;
18/08/2020 15:13:51,071;15:13:51;24,28;34,58597;-49,013089;34,014469;31,430741;77,503271;21,06937;82,544464;28,01663;
18/08/2020 15:13:52,070;15:13:52;24,30;34,586741;-49,012037;34,015085;31,432434;77,503271;21,06937;82,493021;28,01663;
18/08/2020 15:13:53,071;15:13:53;24,32;34,586278;-49,015344;34,016163;31,433512;77,451828;21,01793;82,493021;28,01663;
18/08/2020 15:13:54,070;15:13:54;24,33;34,585354;-49,012788;34,01755;31,43382;77,348941;21,01793;82,595906;27,965183;
18/08/2020 15:13:55,071;15:13:55;24,35;34,585662;-49,008128;34,016163;31,435667;77,400385;20,966491;82,441579;28,01663;
18/08/2020 15:13:56,070;15:13:56;24,37;34,58597;-49,000762;34,016934;31,435975;77,451828;21,01793;82,493021;28,01663;
18/08/2020 15:13:57,071;15:13:57;24,38;34,586432;-48,994298;34,015393;31,435975;77,400385;20,966491;82,544464;28,068076;
18/08/2020 15:13:58,070;15:13:58;24,40;34,586124;-49,010684;34,014931;31,437052;77,451828;21,01793;82,544464;27,965183;
18/08/2020 15:13:59,070;15:13:59;24,42;34,586741;-49,005873;34,01185;31,43659;77,451828;20,966491;82,595906;28,01663;
18/08/2020 15:14:00,071;15:14:00;24,43;34,585046;-49,007076;34,01108;31,433974;77,400385;21,06937;82,544464;28,068076;
18/08/2020 15:14:01,071;15:14:01;24,45;34,585508;-48,993697;34,01108;31,434128;77,451828;20,966491;82,544464;28,01663;
18/08/2020 15:14:02,071;15:14:02;24,47;34,586278;-48,996102;34,010464;31,43305;77,451828;21,01793;82,595906;28,119522;
18/08/2020 15:14:03,069;15:14:03;24,48;34,585662;-49,00888;34,009078;31,435359;77,348941;20,966491;82,544464;28,068076;
18/08/2020 15:14:04,070;15:14:04;24,50;34,5852;-49,008729;34,00877;31,435205;77,297498;21,06937;82,698791;28,222414;
18/08/2020 15:14:05,070;15:14:05;24,52;34,585816;-49,012788;34,009386;31,435821;77,297498;21,06937;82,698791;28,119522;
18/08/2020 15:14:06,069;15:14:06;24,53;34,585662;-48,998206;34,007384;31,436283;77,297498;21,01793;82,698791;28,068076;
18/08/2020 15:14:07,070;15:14:07;24,55;34,584584;-49,001814;34,008308;31,43736;77,348941;20,966491;82,698791;28,170968;
18/08/2020 15:14:08,070;15:14:08;24,57;34,586741;-48,980317;34,007846;31,437514;77,451828;21,01793;82,647348;28,119522;
18/08/2020 15:14:09,070;15:14:09;24,58;34,586741;-48,980919;34,00723;31,436898;77,451828;21,06937;82,698791;28,068076;
18/08/2020 15:14:10,071;15:14:10;24,60;34,587819;-48,978964;34,008;31,437976;77,400385;21,06937;82,801675;28,068076;
18/08/2020 15:14:11,071;15:14:11;24,62;34,587665;-49,002265;34,005843;31,440131;77,297498;21,01793;82,544464;28,01663;
18/08/2020 15:14:12,071;15:14:12;24,63;34,586278;-48,986481;34,005689;31,440285;77,400385;21,06937;82,595906;28,170968;
18/08/2020 15:14:13,070;15:14:13;24,65;34,588435;-48,979866;34,005689;31,4409;77,246055;21,01793;82,801675;28,170968;
18/08/2020 15:14:14,071;15:14:14;24,67;34,587819;-48,976559;34,003533;31,441208;77,246055;20,966491;82,698791;28,119522;
18/08/2020 15:14:15,070;15:14:15;24,68;34,587511;-48,981069;34,004149;31,441208;77,297498;21,01793;82,647348;28,068076;
18/08/2020 15:14:16,070;15:14:16;24,70;34,587665;-48,981069;34,002301;31,442286;77,400385;21,172248;82,698791;28,068076;
18/08/2020 15:14:17,069;15:14:17;24,72;34,588589;-48,98152;34,001992;31,442594;77,400385;21,06937;82,698791;28,068076;
18/08/2020 15:14:18,070;15:14:18;24,73;34,588743;-48,976409;34,00153;31,441208;77,297498;21,120809;82,750233;28,01663;
18/08/2020 15:14:19,070;15:14:19;24,75;34,589514;-48,97686;34,000606;31,442901;77,246055;21,120809;82,595906;28,01663;
18/08/2020 15:14:20,070;15:14:20;24,77;34,588897;-48,969494;33,998604;31,4409;77,348941;21,01793;82,750233;28,068076;
18/08/2020 15:14:21,070;15:14:21;24,78;34,589976;-48,963781;33,995677;31,439515;77,194612;20,915052;82,647348;28,068076;
18/08/2020 15:14:22,070;15:14:22;24,80;34,59013;-48,968141;33,993983;31,439823;77,246055;21,06937;82,595906;28,119522;
18/08/2020 15:14:23,070;15:14:23;24,82;34,590438;-48,965585;33,993675;31,437822;77,246055;21,01793;82,647348;28,170968;
18/08/2020 15:14:24,071;15:14:24;24,83;34,591979;-48,969794;33,992597;31,438591;77,297498;21,01793;82,698791;28,222414;
18/08/2020 15:14:25,070;15:14:25;24,85;34,590592;-48,953559;33,989516;31,43659;77,297498;21,01793;82,698791;28,119522;
18/08/2020 15:14:26,070;15:14:26;24,87;34,591208;-48,949349;33,987822;31,434897;77,297498;21,01793;82,647348;28,119522;
18/08/2020 15:14:27,071;15:14:27;24,88;34,591824;-48,951755;33,985511;31,434589;77,348941;21,06937;82,544464;28,119522;
18/08/2020 15:14:28,070;15:14:28;24,90;34,591054;-48,936722;33,984279;31,433204;77,297498;20,863613;82,750233;28,068076;
18/08/2020 15:14:29,071;15:14:29;24,92;34,592595;-48,948598;33,982122;31,430741;77,348941;20,966491;82,750233;28,170968;
18/08/2020 15:14:30,070;15:14:30;24,93;34,592287;-48,948447;33,979812;31,42874;77,400385;20,966491;82,647348;28,119522;
18/08/2020 15:14:31,071;15:14:31;24,95;34,592133;-48,945441;33,977039;31,427355;77,297498;21,06937;82,698791;28,119522;
18/08/2020 15:14:32,071;15:14:32;24,97;34,592133;-48,94499;33,976269;31,425508;77,246055;21,06937;82,750233;28,170968;
18/08/2020 15:14:33,071;15:14:33;24,98;34,591208;-48,954912;33,973959;31,424122;77,297498;21,01793;82,750233;28,119522;
18/08/2020 15:14:34,069;15:14:34;25,00;34,59167;-48,9498;33,970262;31,422121;77,194612;21,06937;82,647348;28,119522;
18/08/2020 15:14:35,070;15:14:35;25,02;34,591979;-48,946794;33,968414;31,420582;77,348941;20,966491;82,647348;28,170968;
18/08/2020 15:14:36,071;15:14:36;25,03;34,593211;-48,943186;33,967335;31,420274;77,297498;21,06937;82,750233;28,170968;
18/08/2020 15:14:37,070;15:14:37;25,05;34,593827;-48,944088;33,965487;31,418427;77,348941;21,06937;82,647348;28,119522;
18/08/2020 15:14:38,070;15:14:38;25,07;34,594444;-48,940179;33,962098;31,417965;77,246055;21,06937;82,698791;28,222414;
18/08/2020 15:14:39,069;15:14:39;25,08;34,594906;-48,950101;33,961944;31,416272;77,297498;21,01793;82,647348;28,170968;
18/08/2020 15:14:40,070;15:14:40;25,10;34,595522;-48,943186;33,959634;31,41581;77,194612;21,01793;82,698791;28,119522;
18/08/2020 15:14:41,069;15:14:41;25,12;34,595984;-48,940931;33,958094;31,415041;77,297498;21,01793;82,647348;28,068076;
18/08/2020 15:14:42,070;15:14:42;25,13;34,597217;-48,950853;33,954397;31,41304;77,348941;21,01793;82,647348;28,170968;
18/08/2020 15:14:43,070;15:14:43;25,15;34,598911;-48,938977;33,951778;31,41304;77,348941;21,01793;82,853118;28,170968;
18/08/2020 15:14:44,071;15:14:44;25,17;34,598911;-48,946794;33,951316;31,411654;77,246055;21,06937;82,90456;28,01663;
18/08/2020 15:14:45,070;15:14:45;25,18;34,598757;-48,943186;33,948544;31,411039;77,348941;21,172248;82,647348;28,068076;
18/08/2020 15:14:46,071;15:14:46;25,20;34,598449;-48,927401;33,947004;31,409807;77,246055;20,915052;82,750233;28,170968;
18/08/2020 15:14:47,070;15:14:47;25,22;34,598603;-48,938676;33,943923;31,410269;77,246055;20,966491;82,853118;28,119522;
18/08/2020 15:14:48,071;15:14:48;25,23;34,599219;-48,930257;33,943153;31,410423;77,246055;20,915052;82,801675;28,119522;
18/08/2020 15:14:49,071;15:14:49;25,25;34,598603;-48,939428;33,942075;31,4115;77,348941;21,120809;82,853118;28,170968;
18/08/2020 15:14:50,071;15:14:50;25,27;34,600914;-48,935068;33,942999;31,411654;77,348941;21,06937;82,750233;28,068076;
18/08/2020 15:14:51,069;15:14:51;25,28;34,599836;-48,932813;33,941921;31,412116;77,297498;21,01793;82,853118;28,068076;
18/08/2020 15:14:52,069;15:14:52;25,30;34,599528;-48,925146;33,944847;31,412886;77,297498;21,01793;82,801675;28,170968;
18/08/2020 15:14:53,070;15:14:53;25,32;34,599528;-48,921237;33,945309;31,412886;77,194612;21,01793;82,801675;28,170968;
18/08/2020 15:14:54,069;15:14:54;25,33;34,600452;-48,930558;33,946079;31,412578;77,246055;21,06937;82,90456;28,068076;
18/08/2020 15:14:55,070;15:14:55;25,35;34,599528;-48,910113;33,948236;31,413194;77,348941;20,966491;82,853118;28,119522;
18/08/2020 15:14:56,071;15:14:56;25,37;34,600298;-48,921087;33,949006;31,413655;77,348941;21,06937;82,853118;28,170968;
18/08/2020 15:14:57,070;15:14:57;25,38;34,601992;-48,928754;33,948082;31,413347;77,297498;21,06937;82,801675;28,170968;
18/08/2020 15:14:58,071;15:14:58;25,40;34,601222;-48,909061;33,949006;31,414425;77,297498;21,01793;82,801675;28,119522;
18/08/2020 15:14:59,071;15:14:59;25,42;34,600144;-48,916126;33,951162;31,414579;77,297498;21,01793;82,801675;28,119522;
18/08/2020 15:15:00,070;15:15:00;25,43;34,60153;-48,923192;33,951778;31,41304;77,348941;21,120809;82,90456;28,119522;
18/08/2020 15:15:01,070;15:15:01;25,45;34,600914;-48,914773;33,954397;31,412732;77,297498;20,966491;82,801675;28,170968;
18/08/2020 15:15:02,070;15:15:02;25,47;34,600144;-48,932212;33,953781;31,413809;77,348941;20,966491;82,853118;28,119522;
18/08/2020 15:15:03,070;15:15:03;25,48;34,600452;-48,905603;33,954705;31,414579;77,348941;21,01793;82,801675;28,068076;
18/08/2020 15:15:04,069;15:15:04;25,50;34,599682;-48,909061;33,956707;31,414425;77,348941;20,966491;82,750233;28,119522;
18/08/2020 15:15:05,069;15:15:05;25,52;34,599219;-48,910564;33,957632;31,413347;77,348941;21,01793;82,801675;28,170968;
18/08/2020 15:15:06,070;15:15:06;25,53;34,599528;-48,906655;33,957786;31,413809;77,297498;21,01793;82,853118;28,119522;
18/08/2020 15:15:07,071;15:15:07;25,55;34,598449;-48,888766;33,957478;31,414425;77,297498;21,01793;82,853118;28,170968;
18/08/2020 15:15:08,071;15:15:08;25,57;34,598295;-48,9041;33,959942;31,41581;77,246055;21,01793;82,750233;28,119522;
18/08/2020 15:15:09,071;15:15:09;25,58;34,598449;-48,905152;33,963023;31,417965;77,348941;21,01793;82,853118;28,170968;
18/08/2020 15:15:10,070;15:15:10;25,60;34,597833;-48,900792;33,963023;31,418427;77,348941;20,915052;82,750233;28,119522;
18/08/2020 15:15:11,070;15:15:11;25,62;34,598449;-48,888916;33,966103;31,418889;77,348941;21,01793;82,90456;28,222414;
18/08/2020 15:15:12,071;15:15:12;25,63;34,596138;-48,889066;33,970416;31,419043;77,348941;21,01793;82,90456;28,222414;
18/08/2020 15:15:13,070;15:15:13;25,65;34,596138;-48,900792;33,971186;31,418581;77,297498;21,01793;82,801675;28,170968;
18/08/2020 15:15:14,069;15:15:14;25,67;34,596292;-48,893727;33,974267;31,419043;77,246055;21,06937;82,801675;28,119522;
18/08/2020 15:15:15,070;15:15:15;25,68;34,593981;-48,883805;33,975037;31,419351;77,297498;21,06937;82,750233;28,170968;
18/08/2020 15:15:16,070;15:15:16;25,70;34,595522;-48,88636;33,978118;31,419043;77,246055;20,966491;82,853118;28,119522;
18/08/2020 15:15:17,070;15:15:17;25,72;34,594752;-48,892975;33,979504;31,418581;77,348941;21,01793;82,853118;28,170968;
18/08/2020 15:15:18,070;15:15:18;25,73;34,594135;-48,888615;33,983047;31,419812;77,348941;21,01793;82,750233;28,068076;
18/08/2020 15:15:19,071;15:15:19;25,75;34,593673;-48,884857;33,984587;31,42012;77,297498;21,120809;82,853118;28,222414;
18/08/2020 15:15:20,070;15:15:20;25,77;34,595368;-48,892825;33,987205;31,421813;77,297498;21,06937;82,956002;28,170968;
18/08/2020 15:15:21,069;15:15:21;25,78;34,593365;-48,891923;33,987668;31,422429;77,297498;21,06937;82,750233;28,170968;
18/08/2020 15:15:22,071;15:15:22;25,80;34,592441;-48,873582;33,989362;31,423199;77,297498;21,01793;82,750233;28,222414;
18/08/2020 15:15:23,071;15:15:23;25,82;34,592133;-48,887713;33,989824;31,422429;77,297498;21,01793;82,853118;28,170968;
18/08/2020 15:15:24,070;15:15:24;25,83;34,592287;-48,890419;33,990132;31,423199;77,348941;21,06937;82,853118;28,068076;
18/08/2020 15:15:25,070;15:15:25;25,85;34,591054;-48,883504;33,991826;31,424276;77,297498;21,06937;82,801675;28,068076;
18/08/2020 15:15:26,069;15:15:26;25,87;34,590746;-48,891021;33,991518;31,423968;77,246055;21,01793;82,801675;28,170968;
18/08/2020 15:15:27,071;15:15:27;25,88;34,590438;-48,882752;33,993521;31,423814;77,297498;21,01793;82,853118;28,170968;
18/08/2020 15:15:28,070;15:15:28;25,90;34,591362;-48,894629;33,993829;31,422275;77,194612;21,06937;82,801675;28,222414;
18/08/2020 15:15:29,071;15:15:29;25,92;34,589205;-48,875536;33,993367;31,422429;77,348941;20,966491;82,750233;28,119522;
18/08/2020 15:15:30,070;15:15:30;25,93;34,5909;-48,89974;33,993675;31,421967;77,348941;20,966491;82,750233;28,170968;
18/08/2020 15:15:31,070;15:15:31;25,95;34,590592;-48,903198;33,992288;31,422583;77,297498;21,01793;82,853118;28,27386;
18/08/2020 15:15:32,069;15:15:32;25,97;34,5909;-48,905453;33,993367;31,420736;77,348941;21,01793;82,90456;28,170968;
18/08/2020 15:15:33,070;15:15:33;25,98;34,588743;-48,891622;33,992134;31,419351;77,246055;21,06937;82,956002;28,170968;
18/08/2020 15:15:34,071;15:15:34;26,00;34,588281;-48,888014;33,992288;31,418735;77,297498;21,01793;83,007444;28,222414;
18/08/2020 15:15:35,070;15:15:35;26,02;34,589051;-48,892524;33,992905;31,418427;77,246055;21,120809;83,007444;28,170968;
18/08/2020 15:15:36,070;15:15:36;26,03;34,590284;-48,882752;33,992442;31,416734;77,348941;21,01793;82,956002;28,119522;
18/08/2020 15:15:37,070;15:15:37;26,05;34,588589;-48,883354;33,99121;31,415041;77,348941;21,01793;82,956002;28,170968;
18/08/2020 15:15:38,069;15:15:38;26,07;34,588897;-48,8817;33,991056;31,413655;77,297498;21,06937;83,007444;28,170968;
18/08/2020 15:15:39,070;15:15:39;26,08;34,588281;-48,882602;33,989978;31,411039;77,246055;21,01793;83,007444;28,170968;
18/08/2020 15:15:40,069;15:15:40;26,10;34,588897;-48,87734;33,9889;31,410885;77,246055;21,06937;82,956002;28,222414;
18/08/2020 15:15:41,071;15:15:41;26,12;34,588897;-48,871026;33,98813;31,408268;77,194612;21,06937;83,007444;28,27386;
18/08/2020 15:15:42,070;15:15:42;26,13;34,589668;-48,89508;33,985973;31,406113;77,297498;21,01793;82,956002;28,222414;
18/08/2020 15:15:43,070;15:15:43;26,15;34,587973;-48,900191;33,985511;31,405959;77,246055;21,01793;82,90456;28,119522;
18/08/2020 15:15:44,070;15:15:44;26,17;34,589668;-48,89508;33,985357;31,404112;77,246055;21,01793;82,90456;28,222414;
18/08/2020 15:15:45,070;15:15:45;26,18;34,589976;-48,891321;33,985511;31,403188;77,246055;21,01793;83,058887;28,222414;
18/08/2020 15:15:46,071;15:15:46;26,20;34,588743;-48,869072;33,981814;31,401957;77,297498;21,120809;82,956002;28,222414;
18/08/2020 15:15:47,070;15:15:47;26,22;34,589822;-48,872981;33,980582;31,40011;77,297498;21,01793;82,956002;28,170968;
18/08/2020 15:15:48,070;15:15:48;26,23;34,590284;-48,892975;33,979504;31,400264;77,246055;21,06937;82,90456;28,170968;
18/08/2020 15:15:49,070;15:15:49;26,25;34,589514;-48,903047;33,979504;31,398417;77,348941;21,01793;82,956002;28,222414;
18/08/2020 15:15:50,070;15:15:50;26,27;34,590592;-48,904851;33,977347;31,398109;77,348941;21,01793;82,956002;28,119522;
18/08/2020 15:15:51,071;15:15:51;26,28;34,590746;-48,885909;33,978118;31,395492;77,297498;20,966491;83,007444;28,222414;
18/08/2020 15:15:52,070;15:15:52;26,30;34,591208;-48,875536;33,976423;31,394722;77,246055;21,06937;82,90456;28,27386;
18/08/2020 15:15:53,070;15:15:53;26,32;34,591516;-48,879746;33,976269;31,393953;77,246055;21,01793;83,058887;28,222414;
18/08/2020 15:15:54,070;15:15:54;26,33;34,591208;-48,877942;33,97211;31,391336;77,297498;21,01793;82,956002;28,119522;
18/08/2020 15:15:55,070;15:15:55;26,35;34,591054;-48,863359;33,97134;31,388104;77,246055;21,01793;82,956002;28,119522;
18/08/2020 15:15:56,071;15:15:56;26,37;34,590592;-48,867569;33,969184;31,38641;77,348941;20,966491;82,956002;28,222414;
18/08/2020 15:15:57,071;15:15:57;26,38;34,5909;-48,872379;33,969338;31,385025;77,297498;21,06937;82,956002;28,222414;
18/08/2020 15:15:58,070;15:15:58;26,40;34,591054;-48,87704;33,96749;31,384255;77,297498;21,06937;82,956002;28,222414;
18/08/2020 15:15:59,070;15:15:59;26,42;34,590438;-48,872229;33,965025;31,380099;77,348941;21,01793;82,956002;28,222414;
18/08/2020 15:16:00,071;15:16:00;26,43;34,590746;-48,854941;33,962098;31,380253;77,297498;21,01793;83,007444;28,222414;
18/08/2020 15:16:01,070;15:16:01;26,45;34,5909;-48,871327;33,961944;31,378714;77,246055;21,01793;82,956002;28,170968;
18/08/2020 15:16:02,070;15:16:02;26,47;34,59013;-48,872079;33,960712;31,37502;77,297498;21,01793;82,90456;28,222414;
18/08/2020 15:16:03,071;15:16:03;26,48;34,589822;-48,874033;33,956245;31,373019;77,348941;20,966491;82,90456;28,27386;
18/08/2020 15:16:04,071;15:16:04;26,50;34,590284;-48,866516;33,954397;31,371634;77,348941;20,966491;83,007444;28,170968;
18/08/2020 15:16:05,069;15:16:05;26,52;34,591516;-48,864562;33,952703;31,37071;77,297498;21,01793;82,956002;28,170968;
18/08/2020 15:16:06,070;15:16:06;26,53;34,590438;-48,862608;33,950392;31,369017;77,400385;21,01793;82,956002;28,27386;
18/08/2020 15:16:07,071;15:16:07;26,55;34,592595;-48,847875;33,948082;31,367478;77,246055;21,06937;82,956002;28,27386;
18/08/2020 15:16:08,071;15:16:08;26,57;34,591208;-48,847875;33,944847;31,363168;77,194612;21,06937;83,007444;28,170968;
18/08/2020 15:16:09,071;15:16:09;26,58;34,590746;-48,828331;33,941767;31,361475;77,297498;20,966491;82,956002;28,222414;
18/08/2020 15:16:10,070;15:16:10;26,60;34,591516;-48,845319;33,94115;31,361321;77,348941;21,01793;82,956002;28,325306;
18/08/2020 15:16:11,070;15:16:11;26,62;34,591824;-48,822618;33,938994;31,360551;77,297498;21,01793;83,110329;28,325306;
18/08/2020 15:16:12,069;15:16:12;26,63;34,5909;-48,842613;33,935913;31,355472;77,400385;21,120809;82,956002;28,222414;
18/08/2020 15:16:13,070;15:16:13;26,65;34,59167;-48,826978;33,935451;31,353778;77,297498;21,120809;82,90456;28,222414;
18/08/2020 15:16:14,070;15:16:14;26,67;34,591362;-48,845018;33,935451;31,354702;77,246055;20,966491;83,007444;28,27386;
18/08/2020 15:16:15,070;15:16:15;26,68;34,592749;-48,820213;33,935297;31,353163;77,297498;21,01793;82,90456;28,222414;
18/08/2020 15:16:16,070;15:16:16;26,70;34,591979;-48,828632;33,934065;31,351623;77,297498;20,966491;82,90456;28,27386;
18/08/2020 15:16:17,070;15:16:17;26,72;34,592287;-48,835698;33,934527;31,350854;77,297498;20,966491;82,956002;28,27386;
18/08/2020 15:16:18,069;15:16:18;26,73;34,592287;-48,829684;33,934527;31,351777;77,348941;21,01793;83,007444;28,27386;
18/08/2020 15:16:19,071;15:16:19;26,75;34,593211;-48,833443;33,933757;31,354086;77,297498;20,966491;82,90456;28,222414;
18/08/2020 15:16:20,070;15:16:20;26,77;34,593365;-48,834345;33,935913;31,355933;77,348941;21,01793;82,90456;28,27386;
18/08/2020 15:16:21,069;15:16:21;26,78;34,593519;-48,820363;33,93653;31,35855;77,297498;21,01793;83,007444;28,325306;
18/08/2020 15:16:22,070;15:16:22;26,80;34,595676;-48,825024;33,936992;31,360089;77,297498;21,01793;82,90456;28,170968;
18/08/2020 15:16:23,070;15:16:23;26,82;34,594598;-48,826527;33,938532;31,363168;77,297498;21,01793;82,90456;28,222414;
