Time;Hora;Tempo (min);PT100 1 [ºC];PT100 2 [ºC];PT100 3 [ºC];PT100 4 [ºC];Umidade 1 [%];Temp. TH 1 [ºC];Umidade 2 [%];Temp. TH 2 [ºC];
18/08/2020 14:50:14,070;14:50:14;0,67;34,90643;-97,281136;24,763123;22,363291;74,828224;21,532321;46,997827;20,865622;
18/08/2020 14:50:15,070;14:50:15;0,68;34,907201;-97,283656;24,799375;22,411647;74,879667;21,532321;47,306481;20,917068;
18/08/2020 14:50:16,070;14:50:16;0,70;34,904427;-97,291068;24,868654;22,503911;74,77678;21,532321;47,306481;20,968514;
18/08/2020 14:50:17,070;14:50:17;0,72;34,904427;-97,291365;24,902756;22,549506;74,828224;21,58376;47,306481;21,01996;
18/08/2020 14:50:18,070;14:50:18;0,73;34,903657;-97,297146;24,931482;22,593106;74,828224;21,58376;47,512251;20,968514;
18/08/2020 14:50:19,069;14:50:19;0,75;34,901962;-97,295664;24,966353;22,637781;74,828224;21,58376;47,615135;21,01996;
18/08/2020 14:50:20,070;14:50:20;0,77;34,901192;-97,299518;25,026418;22,719918;74,77678;21,532321;47,820904;20,968514;
18/08/2020 14:50:21,069;14:50:21;0,78;34,899343;-97,299666;25,053455;22,762906;74,828224;21,480882;47,769462;21,01996;
18/08/2020 14:50:22,070;14:50:22;0,80;34,898726;-97,305893;25,082643;22,803439;74,93111;21,635199;47,71802;20,968514;
18/08/2020 14:50:23,071;14:50:23;0,82;34,897494;-97,307375;25,111832;22,841361;74,828224;21,532321;47,975231;21,01996;
18/08/2020 14:50:24,070;14:50:24;0,83;34,895337;-97,313453;25,166522;22,915519;74,879667;21,58376;48,078116;21,071406;
18/08/2020 14:50:25,070;14:50:25;0,85;34,893488;-97,314194;25,192946;22,952982;74,879667;21,58376;48,078116;21,01996;
18/08/2020 14:50:26,070;14:50:26;0,87;34,893334;-97,316566;25,219063;22,98845;74,77678;21,58376;48,232443;21,122852;
18/08/2020 14:50:27,071;14:50:27;0,88;34,891023;-97,319976;25,244412;23,023304;74,828224;21,58376;48,283885;21,122852;
18/08/2020 14:50:28,070;14:50:28;0,90;34,890406;-97,321903;25,268993;23,057391;74,879667;21,58376;48,489654;21,071406;
18/08/2020 14:50:29,070;14:50:29;0,92;34,88902;-97,325016;25,321842;23,130785;74,828224;21,58376;48,643981;21,174298;
18/08/2020 14:50:30,070;14:50:30;0,93;34,887787;-97,329908;25,347346;23,164566;74,828224;21,532321;48,592539;21,174298;
18/08/2020 14:50:31,070;14:50:31;0,95;34,886092;-97,332873;25,372542;23,200343;74,828224;21,635199;48,901193;21,174298;
18/08/2020 14:50:32,070;14:50:32;0,97;34,88563;-97,33139;25,399736;23,235506;74,982553;21,58376;48,849751;21,225744;
