time;sensor_PT100_1;sensor_PT100_2;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2;product_humidity
616.0;37.200309;17.667138;31.718634;31.701356;60.887111;26.419028;69.32379;30.38315;0.0931
1192.0;37.132316;17.601217;32.944423;32.950041;59.90969;26.881979;77.503117;31.772195;0.1282
1789.0;37.320726;17.783039;32.861427;32.956355;58.675053;27.396369;79.663694;32.132318;0.1492
2400.0;37.175794;17.624519;33.931447;33.85582;56.925983;28.013637;78.994944;32.852563;0.1383
3000.0;37.034878;17.501112;34.742197;34.723325;55.485573;28.476588;77.400233;33.058347;0.1218
3480.0;36.966426;17.429063;35.455598;35.546977;53.68506;28.836662;75.496867;33.727147;0.0932
