time;sensor_PT100_1;sensor_PT100_2;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2
0.0;34,938016;-97,168766;24,036175;21,530897;74,725337;21,58376;47,820904;20,505499
0.0;34,938016;-97,168766;24,036175;21,530897;74,725337;21,58376;47,820904;20,505499
1.0;34,937553;-97,171286;24,04155;21,537036;74,77678;21,635199;47,615135;20,505499
1.0;34,937553;-97,171286;24,04155;21,537036;74,77678;21,635199;47,615135;20,505499
2.0;34,936167;-97,174844;24,046157;21,540566;74,77678;21,635199;47,563693;20,505499
2.0;34,936167;-97,174844;24,046157;21,540566;74,77678;21,635199;47,563693;20,505499
3.0;34,935242;-97,17855;24,056293;21,549775;74,725337;21,635199;47,306481;20,402607
3.0;34,935242;-97,17855;24,056293;21,549775;74,725337;21,635199;47,306481;20,402607
4.0;34,934626;-97,179588;24,060593;21,555914;74,77678;21,686638;47,203597;20,556945
4.0;34,934626;-97,179588;24,060593;21,555914;74,77678;21,686638;47,203597;20,556945
5.0;34,933085;-97,182257;24,06689;21,560518;74,725337;21,635199;47,100712;20,402607
5.0;34,933085;-97,182257;24,06689;21,560518;74,725337;21,635199;47,100712;20,402607
6.0;34,932161;-97,183887;24,070269;21,565736;74,673894;21,58376;46,843501;20,505499
6.0;34,932161;-97,183887;24,070269;21,565736;74,673894;21,58376;46,843501;20,505499
7.0;34,933393;-97,185963;24,077026;21,571875;74,725337;21,635199;46,843501;20,454053
7.0;34,933393;-97,185963;24,077026;21,571875;74,725337;21,635199;46,843501;20,454053
8.0;34,928617;-97,180329;24,088698;21,581391;74,725337;21,532321;46,689174;20,505499
8.0;34,928617;-97,180329;24,088698;21,581391;74,725337;21,532321;46,689174;20,505499
9.0;34,928771;-97,180181;24,093919;21,585381;74,673894;21,686638;46,586289;20,454053
9.0;34,928771;-97,180181;24,093919;21,585381;74,673894;21,686638;46,586289;20,454053
10.0;34,927693;-97,180181;24,09822;21,591213;74,673894;21,58376;46,483404;20,402607
10.0;34,927693;-97,180181;24,09822;21,591213;74,673894;21,58376;46,483404;20,402607
11.0;34,928771;-97,186407;24,102366;21,597352;74,673894;21,532321;46,38052;20,505499
11.0;34,928771;-97,186407;24,102366;21,597352;74,673894;21,532321;46,38052;20,505499
12.0;34,928617;-97,185518;24,113885;21,609323;74,673894;21,686638;46,431962;20,454053
12.0;34,928617;-97,185518;24,113885;21,609323;74,673894;21,686638;46,431962;20,454053
13.0;34,927538;-97,191003;24,118645;21,611319;74,725337;21,635199;46,226193;20,454053
13.0;34,927538;-97,191003;24,118645;21,611319;74,725337;21,635199;46,226193;20,454053
14.0;34,927076;-97,190558;24,124942;21,619453;74,725337;21,532321;46,071866;20,454053
14.0;34,927076;-97,190558;24,124942;21,619453;74,725337;21,532321;46,071866;20,454053
15.0;34,927693;-97,203011;24,13001;21,624978;74,673894;21,635199;46,071866;20,505499
15.0;34,927693;-97,203011;24,13001;21,624978;74,673894;21,635199;46,071866;20,505499
16.0;34,925998;-97,208496;24,142143;21,636643;74,673894;21,532321;46,174751;20,556945
16.0;34,925998;-97,208496;24,142143;21,636643;74,673894;21,532321;46,174751;20,556945
17.0;34,924765;-97,211165;24,147672;21,644623;74,725337;21,58376;46,071866;20,556945
17.0;34,924765;-97,211165;24,147672;21,644623;74,725337;21,58376;46,071866;20,556945
18.0;34,925227;-97,212795;24,154737;21,650149;74,725337;21,635199;46,020424;20,608391
18.0;34,925227;-97,212795;24,154737;21,650149;74,725337;21,635199;46,020424;20,608391
19.0;34,924611;-97,208051;24,159805;21,656441;74,673894;21,480882;46,020424;20,608391
19.0;34,924611;-97,208051;24,159805;21,656441;74,673894;21,480882;46,020424;20,608391
20.0;34,923841;-97,218132;24,171938;21,671789;74,725337;21,58376;46,071866;20,556945
20.0;34,923841;-97,218132;24,171938;21,671789;74,725337;21,58376;46,071866;20,556945
21.0;34,92153;-97,219022;24,178081;21,678696;74,828224;21,58376;46,020424;20,608391
21.0;34,92153;-97,219022;24,178081;21,678696;74,828224;21,58376;46,020424;20,608391
22.0;34,924303;-97,220801;24,185146;21,68637;74,828224;21,58376;46,020424;20,608391
22.0;34,924303;-97,220801;24,185146;21,68637;74,828224;21,58376;46,020424;20,608391
23.0;34,921992;-97,222728;24,192671;21,692816;74,828224;21,480882;46,020424;20,659837
23.0;34,921992;-97,222728;24,192671;21,692816;74,828224;21,480882;46,020424;20,659837
24.0;34,921684;-97,22421;24,198354;21,700337;74,879667;21,58376;46,020424;20,659837
24.0;34,921684;-97,22421;24,198354;21,700337;74,879667;21,58376;46,020424;20,659837
25.0;34,918294;-97,228954;24,213558;21,71676;74,77678;21,532321;46,020424;20,659837
25.0;34,918294;-97,228954;24,213558;21,71676;74,77678;21,532321;46,020424;20,659837
26.0;34,919681;-97,229251;24,22093;21,724587;74,828224;21,58376;46,174751;20,556945
26.0;34,919681;-97,229251;24,22093;21,724587;74,828224;21,58376;46,174751;20,556945
27.0;34,919372;-97,231623;24,22692;21,733029;74,828224;21,532321;46,071866;20,608391
27.0;34,919372;-97,231623;24,22692;21,733029;74,828224;21,532321;46,071866;20,608391
28.0;34,916137;-97,23948;24,236135;21,743159;74,828224;21,58376;46,174751;20,659837
28.0;34,916137;-97,23948;24,236135;21,743159;74,828224;21,58376;46,174751;20,659837
29.0;34,916907;-97,242444;24,260555;21,772167;74,77678;21,532321;46,38052;20,608391
29.0;34,916907;-97,242444;24,260555;21,772167;74,77678;21,532321;46,38052;20,608391
30.0;34,914134;-97,248226;24,287125;21,798567;74,77678;21,532321;46,277635;20,608391
30.0;34,914134;-97,248226;24,287125;21,798567;74,77678;21,532321;46,277635;20,608391
31.0;34,913826;-97,250153;24,322297;21,83218;74,879667;21,635199;46,329077;20,659837
31.0;34,913826;-97,250153;24,322297;21,83218;74,879667;21,635199;46,329077;20,659837
32.0;34,913364;-97,259048;24,362076;21,870399;74,77678;21,635199;46,586289;20,659837
32.0;34,913364;-97,259048;24,362076;21,870399;74,77678;21,635199;46,586289;20,659837
33.0;34,910282;-97,26394;24,44348;21,95835;74,828224;21,480882;46,483404;20,711283
33.0;34,910282;-97,26394;24,44348;21,95835;74,828224;21,480882;46,483404;20,711283
