time;sensor_PT100_1;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2;product_humidity;ensaio;sensor_PT100_2
1800.0;37.78;29.86;29.7;55.85;26.83;76.11;29.35;13.17;05;15.8
2400.0;37.58;29.87;29.77;55.69;27.34;78.17;29.35;13.04;05;15.56
3000.0;37.69;30.04;29.86;54.46;27.65;78.58;29.15;13.9;05;15.7
3600.0;37.71;30.05;29.67;53.17;28.12;79.15;29.15;13.02;05;15.68
4020.0;37.55;29.99;29.57;52.66;28.32;79.46;29.1;9.41;05;15.61
1200.0;42.7;33.73;33.48;53.53;24.62;69.22;29.15;10.64;06;20.34
1800.0;42.69;35.67;35.47;55.43;25.39;73.54;31.51;9.89;06;20.24
2377.6;42.87;37.66;37.46;51.42;26.16;72.31;33.42;7.65;06;20.47
3000.0;42.97;43.23;43.11;51.68;26.98;57.54;36.81;4.27;06;20.62
3608.6;42.79;47.32;48.02;48.7;27.86;43.91;40.72;6.26;06;20.42
4015.5;42.88;48.26;49.02;47.61;28.32;40.0;41.96;5.77;06;20.47
600.0;39.25;39.76;34.4;52.24;28.63;62.02;32.13;8.6;07;20.11
1200.0;39.14;40.55;34.96;51.58;28.89;64.64;32.7;8.06;07;20.01
1800.0;39.01;42.61;37.37;50.5;29.25;64.59;33.26;10.81;07;19.86
2400.0;39.1;43.86;38.65;49.93;29.51;61.5;34.09;11.1;07;19.95
3000.0;38.77;48.26;42.81;49.16;29.92;53.53;36.09;7.84;07;19.6
3600.0;38.52;50.37;44.68;48.03;30.17;48.18;37.89;7.88;07;19.37
4200.0;38.32;51.88;46.11;47.1;30.48;44.84;39.18;6.35;07;19.19
4800.6;37.97;52.47;46.59;46.33;30.64;42.78;39.9;7.6;07;18.82
5220.3;37.95;52.47;46.67;46.07;30.79;41.49;40.06;6.29;07;18.77
1800.2;41.74;30.26;30.51;71.38;21.17;71.9;27.61;17.82;08;12.44
2408.8;41.91;31.09;31.17;71.33;21.17;77.76;29.41;23.83;08;12.46
3000.2;41.87;31.3;31.37;71.18;21.48;81.21;29.97;22.71;08;12.32
3240.2;41.88;31.73;31.7;72.05;21.64;82.49;30.18;14.74;08;12.33
1207.0;36.26;27.18;27.19;61.3;24.26;50.5;24.98;11.72;09;3.09
1808.3;36.18;31.41;31.29;60.48;24.41;70.1;29.2;12.67;09;3.0
2398.8;35.81;32.47;32.54;59.65;24.62;74.26;30.28;11.7;09;2.49
2988.0;35.87;32.34;32.31;59.4;24.72;75.19;30.59;11.55;09;2.58
3600.0;36.03;33.15;32.99;57.34;25.44;73.85;31.26;10.75;09;2.77
4020.0;35.86;33.56;33.53;56.21;25.75;72.2;31.57;8.54;09;2.6
600.0;37.87;33.55;31.95;59.96;25.8;69.84;30.28;9.03;10;-24.42
