time;process_time;sensor_PT100_1;sensor_PT100_2;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2
15:13:07,314;53,00;42,779038;20,452778;27,170718;26,306567;53,99372;24,310028;51,833405;24,569741
15:13:08,314;54,00;42,779193;20,454159;27,195005;26,337306;53,99372;24,20715;51,884847;24,518295
15:13:09,313;55,00;42,779193;20,453238;27,241429;26,403549;54,045163;24,155711;51,936289;24,621187
15:13:10,314;56,00;42,779193;20,453852;27,263258;26,435364;54,045163;24,258589;52,039174;24,569741
15:13:11,313;57,00;42,779193;20,452932;27,287238;26,467487;54,096606;24,310028;51,987732;24,621187
15:13:12,314;58,00;42,778884;20,452932;27,310758;26,501301;53,890833;24,258589;52,244943;24,569741
15:13:13,313;59,00;42,775486;20,452778;27,360565;26,573234;53,942276;24,20715;52,450712;24,569741
15:13:14,314;60,00;42,775949;20,452318;27,386392;26,607049;54,045163;24,310028;52,39927;24,569741
15:13:15,314;61,00;42,775177;20,453238;27,413294;26,641787;53,99372;24,310028;52,707924;24,672633
15:13:16,313;62,00;42,774405;20,451858;27,439428;26,678524;53,890833;24,258589;52,656482;24,672633
15:13:17,314;63,00;42,775023;20,452318;27,466946;26,71357;53,942276;24,20715;52,862251;24,672633
15:13:18,314;64,00;42,774405;20,452932;27,51983;26,785353;53,99372;24,361467;53,016578;24,724079
15:13:19,314;65,00;42,777031;20,454773;27,548732;26,820708;53,99372;24,310028;52,965135;24,724079
15:13:20,314;66,00;42,777339;20,454773;27,577327;26,855755;53,736503;24,155711;53,170905;24,775525
15:13:21,314;67,00;42,777957;20,45508;27,605461;26,887882;53,83939;24,20715;53,273789;24,826971
15:13:22,314;68,00;42,779656;20,454773;27,663729;26,956903;53,83939;24,258589;53,170905;24,826971
15:13:23,313;69,00;42,778729;20,456767;27,692325;26,989185;53,736503;24,258589;53,119462;24,826971
