time;sensor_PT100_1;sensor_PT100_2;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2;product_humidity
1800.2;41.739371;12.439647;30.261417;30.505458;71.381528;21.172248;71.895906;27.605061;0.1782
2408.8;41.914608;12.460311;31.090671;31.168613;71.330085;21.172248;77.760329;29.405674;0.2383
3000.2;41.866127;12.320103;31.301056;31.369479;71.175755;21.480882;81.206964;29.971581;0.2271
3240.2;41.881258;12.325613;31.72987;31.703819;72.05029;21.635199;82.493021;30.177366;0.1474
