time;sensor_PT100_1;sensor_PT100_2;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2
0.0;38,047328;15,420276;25,781853;25,522981;57,543302;26,367589;56,926193;25,753001
144.0;38,027434;15,56;27,498154;27,142143;56,257221;26,367589;49,312731;26,267462
145.0;38,0262;15,557702;27,529054;27,160591;56,257221;26,419028;49,261289;26,267462
146.0;38,02435;15,552033;27,582554;27,19103;56,360108;26,367589;49,261289;26,318908
147.0;38,022808;15,54759;27,610227;27,207633;56,360108;26,419028;49,312731;26,216016
148.0;38,019723;15,54376;27,638361;27,22439;56,308664;26,470467;49,364174;26,267462
149.0;38,01849;15,539317;27,665112;27,246221;56,308664;26,367589;49,415616;26,318908
150.0;38,014943;15,531044;27,717846;27,299414;56,257221;26,31615;49,415616;26,267462
151.0;38,012167;15,527214;27,742137;27,333236;56,308664;26,419028;49,364174;26,318908
152.0;38,012321;15,52369;27,766122;27,369519;56,308664;26,367589;49,415616;26,318908
153.0;38,010162;15,520319;27,78903;27,409184;56,462994;26,367589;49,518501;26,370354
154.0;38,007386;15,517561;27,812092;27,445775;56,360108;26,367589;49,415616;26,370354
155.0;38,006152;15,514804;27,855449;27,514654;56,411551;26,367589;49,467058;26,370354
156.0;38,006461;15,512965;27,876513;27,545711;56,514437;26,419028;49,569943;26,4218
157.0;38,00569;15,512352;27,896654;27,574769;56,462994;26,367589;49,467058;26,370354
158.0;38,006923;15,510054;27,918487;27,601061;56,462994;26,419028;49,467058;26,370354
159.0;38,005844;15,507143;27,957694;27,650262;56,462994;26,470467;49,72427;26,4218
160.0;38,008465;15,506071;27,978451;27,674709;56,411551;26,367589;49,621385;26,370354
161.0;38,005381;15,504692;28,000899;27,697926;56,411551;26,470467;49,878597;26,524693
162.0;38,00569;15,503926;28,017659;27,718683;56,565881;26,419028;49,981481;26,576139
163.0;38,005073;15,498717;28,056406;27,761735;56,462994;26,419028;49,930039;26,473247
164.0;38,001371;15,498104;28,074857;27,78403;56,514437;26,470467;50,032924;26,627585
165.0;38,000755;15,495346;28,09177;27,812322;56,514437;26,470467;50,032924;26,524693
166.0;37,998904;15,494887;28,110222;27,846304;56,514437;26,470467;50,238693;26,576139
167.0;37,999212;15,491057;28,148201;27,915959;56,462994;26,419028;50,135808;26,627585
168.0;37,997516;15,488452;28,163885;27,949788;56,462994;26,419028;50,135808;26,627585
169.0;37,99767;15,486614;28,180338;27,979927;56,617324;26,470467;50,238693;26,627585
170.0;37,995511;15,482937;28,196483;28,010065;56,565881;26,419028;50,238693;26,627585
171.0;37,994894;15,480792;28,214166;28,038052;56,462994;26,367589;50,238693;26,679031
172.0;37,990885;15,477728;28,245534;28,085875;56,462994;26,419028;50,290135;26,627585
173.0;37,991193;15,477268;28,261526;28,10725;56,411551;26,419028;50,187251;26,730477
174.0;37,990422;15,474357;28,275519;28,127241;56,462994;26,419028;50,187251;26,730477
175.0;37,989805;15,473591;28,292126;28,148154;56,514437;26,419028;50,135808;26,730477
176.0;37,989034;15,46731;28,324572;28,203668;56,411551;26,419028;50,238693;26,730477
177.0;37,987183;15,477115;28,337181;28,233963;56,514437;26,470467;50,187251;26,730477
178.0;37,991964;15,489984;28,350406;28,26518;56,360108;26,367589;50,084366;26,730477
179.0;38,000138;15,502547;28,366705;28,293015;56,360108;26,367589;50,187251;26,730477
180.0;38,033449;15,554331;28,392693;28,345917;56,462994;26,419028;50,187251;26,781923
181.0;38,051184;15,580684;28,407148;28,371599;56,411551;26,31615;50,238693;26,730477
182.0;38,071387;15,615463;28,420834;28,393898;56,514437;26,470467;50,032924;26,730477
183.0;38,095908;15,659741;28,434828;28,415583;56,411551;26,470467;50,032924;26,730477
184.0;38,144642;15,754429;28,462507;28,456183;56,514437;26,419028;50,084366;26,781923
185.0;38,166234;15,795032;28,475579;28,473715;56,411551;26,419028;49,981481;26,833369
186.0;38,185974;15,827668;28,48988;28,491863;56,411551;26,419028;49,981481;26,833369
187.0;38,201706;15,854022;28,504028;28,509549;56,462994;26,573345;49,930039;26,833369
188.0;38,211576;15,875933;28,517868;28,524775;56,411551;26,470467;49,827155;26,884815
189.0;38,227153;15,904586;28,544164;28,554149;56,462994;26,367589;49,878597;26,936261
190.0;38,234864;15,913167;28,554621;28,570913;56,462994;26,419028;49,827155;26,936261
191.0;38,238874;15,920675;28,568154;28,585524;56,411551;26,419028;49,878597;26,936261
192.0;38,241959;15,924965;28,587838;28,603057;56,514437;26,419028;49,72427;26,936261
193.0;38,249516;15,932473;28,641355;28,647812;56,514437;26,419028;49,672828;26,987708
194.0;38,252292;15,933546;28,675035;28,673343;56,514437;26,419028;49,672828;26,987708
195.0;38,252755;15,935078;28,708099;28,697028;56,462994;26,419028;49,518501;26,936261
196.0;38,253063;15,936304;28,747008;28,723482;56,411551;26,367589;49,569943;26,987708
197.0;38,255685;15,934772;28,814984;28,767932;56,462994;26,367589;49,775712;26,987708
198.0;38,257536;15,936304;28,848204;28,790695;56,462994;26,419028;49,364174;27,039154
199.0;38,259541;15,936764;28,878655;28,809306;56,411551;26,419028;49,364174;26,987708
200.0;38,257536;15,935538;28,908184;28,829301;56,514437;26,367589;49,364174;26,936261
201.0;38,259849;15,93661;28,963706;28,866369;56,514437;26,419028;49,415616;27,039154
202.0;38,257228;15,934006;28,990775;28,882672;56,617324;26,367589;49,261289;26,987708
203.0;38,258461;15,936917;29,013691;28,900668;56,617324;26,419028;49,261289;27,039154
204.0;38,257536;15,935998;29,0383;28,915588;56,617324;26,419028;49,209847;26,987708
205.0;38,255839;15,935538;29,061217;28,930354;56,668767;26,419028;49,106962;27,039154
206.0;38,253834;15,935231;29,101821;28,958809;56,617324;26,470467;49,004078;27,039154
207.0;38,25476;15,935385;29,121047;28,970807;56,617324;26,367589;49,05552;27,0906
208.0;38,251213;15,936764;29,144118;28,982805;56,72021;26,419028;49,004078;27,142046
209.0;38,252909;15,936304;29,163806;28,995264;56,565881;26,419028;48,952635;27,399276
210.0;38,251984;15,935691;29,200413;29,019413;56,617324;26,367589;48,746866;27,039154
211.0;38,251521;15,935078;29,219024;29,029872;56,668767;26,419028;48,695424;27,142046
212.0;38,252909;15,934925;29,23579;29,045715;56,565881;26,419028;48,746866;27,142046
213.0;38,253834;15,936151;29,254863;29,060943;56,668767;26,470467;48,695424;27,142046
214.0;38,257073;15,937223;29,288702;29,101706;56,514437;26,31615;48,643981;27,142046
215.0;38,258616;15,936151;29,308083;29,122471;56,565881;26,419028;48,798308;27,193492
216.0;38,258616;15,936304;29,322849;29,142776;56,668767;26,419028;48,489654;27,142046
217.0;38,259541;15,935998;29,338538;29,164465;56,514437;26,419028;48,541097;27,193492
218.0;38,260312;15,935691;29,367764;29,201075;56,72021;26,676223;48,541097;27,193492
219.0;38,260621;15,935231;29,380069;29,217534;56,668767;26,419028;48,592539;27,244938
220.0;38,25769;15,935691;29,398066;29,235994;56,565881;26,419028;48,541097;27,296384
221.0;38,256611;15,935691;29,411295;29,248607;56,617324;26,419028;48,746866;27,296384
222.0;38,255994;15,937377;29,422216;29,264298;56,617324;26,367589;48,489654;27,296384
223.0;38,251521;15,939062;29,451135;29,290449;56,668767;26,470467;48,541097;27,244938
224.0;38,252292;15,940135;29,463748;29,301986;56,617324;26,521906;48,438212;27,193492
225.0;38,25183;15,939828;29,475439;29,315369;56,617324;26,419028;48,438212;27,244938
226.0;38,249053;15,938602;29,487283;29,331675;56,617324;26,419028;48,489654;27,296384
227.0;38,24782;15,939828;29,512203;29,366749;56,617324;26,419028;48,38677;27,244938
228.0;38,247511;15,939062;29,523278;29,38567;56,668767;26,419028;48,232443;27,296384
229.0;38,246277;15,939981;29,538969;29,401823;56,668767;26,419028;48,38677;27,296384
230.0;38,246277;15,940594;29,550352;29,419052;56,565881;26,470467;48,489654;27,296384
231.0;38,24381;15,941973;29,578502;29,449204;56,617324;26,419028;48,335328;27,34783
232.0;38,24165;15,940441;29,594347;29,462434;56,668767;26,367589;48,335328;27,296384
233.0;38,240725;15,940901;29,612806;29,477049;56,668767;26,419028;48,335328;27,296384
234.0;38,241188;15,940594;29,631266;29,491971;56,72021;26,470467;48,438212;27,399276
235.0;38,238566;15,940748;29,649264;29,50397;56,617324;26,367589;48,38677;27,34783
236.0;38,23764;15,942586;29,681108;29,531508;56,668767;26,419028;48,489654;27,34783
237.0;38,23872;15,942739;29,697106;29,547199;56,668767;26,161832;48,541097;27,399276
238.0;38,240262;15,944578;29,713259;29,56643;56,771653;26,470467;48,695424;27,399276
239.0;38,237024;15,943352;29,728642;29,587814;56,771653;26,419028;48,849751;27,399276
240.0;38,239029;15,944885;29,756487;29,640736;56,565881;26,419028;48,849751;27,450722
241.0;38,236869;15,947336;29,773255;29,669505;56,72021;26,521906;49,261289;27,399276
242.0;38,236252;15,94657;29,788177;29,697659;56,823097;26,521906;49,518501;27,450722
243.0;38,237949;15,946877;29,8011;29,724737;56,72021;26,419028;49,467058;27,399276
244.0;38,236561;15,949481;29,831868;29,773815;56,823097;26,419028;49,621385;27,399276
245.0;38,23579;15,949788;29,842483;29,795969;56,72021;26,419028;49,621385;27,450722
246.0;38,23471;15,950094;29,85679;29,815047;56,771653;26,470467;49,72427;27,399276
247.0;38,233322;15,948715;29,869405;29,835817;56,823097;26,521906;49,827155;27,553615
248.0;38,234247;15,949941;29,890174;29,869665;56,72021;26,367589;49,827155;27,399276
