time;sensor_PT100_1;sensor_PT100_2;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2;product_humidity
600.0;40.51;23.02;36.56;35.38;36.45;28.43;60.73;32.85;9.44
1200.0;40.76;23.22;38.0;37.0;34.29;28.94;61.56;33.83;12.39
1800.0;40.83;23.27;44.2;43.26;32.44;29.81;48.03;37.38;12.8
2400.0;40.94;23.36;50.87;49.16;30.74;30.74;31.62;43.6;10.06
3000.0;41.09;23.5;53.44;53.6;29.15;31.56;25.8;46.85;7.09
3600.0;40.99;23.38;54.4;55.13;28.74;32.33;21.38;49.01;6.34
4201.0;40.97;23.35;52.51;51.65;27.86;32.9;22.82;49.06;5.89
4800.0;41.1;23.47;53.14;52.31;26.78;33.41;20.71;50.34;4.7
