time;sensor_PT100_1;sensor_PT100_2;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2
0.0;39,738925;18,168331;24,882325;24,319605;62,533294;25,030174;65,517059;26,524693
1.0;39,736302;18,163424;24,880943;24,321448;62,584737;25,081613;65,414174;26,4218
1245.0;39,437596;17,473519;28,126367;28,064962;68,346378;24,927296;55,948789;25,804447
1246.0;39,435745;17,471066;28,261219;28,16061;68,140605;24,927296;55,845905;25,804447
1247.0;39,434356;17,469533;28,322727;28,210588;68,140605;24,978735;56,103116;25,907339
1248.0;39,430499;17,469533;28,378085;28,25949;68,192048;24,875857;56,206001;26,010232
1249.0;39,430036;17,468307;28,433597;28,315929;68,294935;24,875857;56,257443;26,010232
1250.0;39,42695;17,466774;28,534322;28,432961;68,294935;24,772979;56,41177;25,907339
1251.0;39,426488;17,465854;28,579227;28,495708;68,346378;24,824418;56,41177;25,958786
1252.0;39,42587;17,466467;28,627361;28,553842;68,346378;24,824418;56,41177;26,010232
1253.0;39,42587;17,466314;28,669345;28,609362;68,397821;24,824418;56,41177;26,010232
1254.0;39,424019;17,466314;28,712098;28,662577;68,346378;24,927296;56,41177;26,010232
1255.0;39,42587;17,463248;28,787916;28,751167;68,449264;24,875857;56,566097;26,061678
1256.0;39,423248;17,462481;28,820521;28,792541;68,346378;24,772979;56,514655;26,010232
1257.0;39,423093;17,464014;28,855278;28,834376;68,397821;24,772979;56,617539;26,16457
1258.0;39,421705;17,461715;28,88696;28,874982;68,500708;24,824418;56,463213;26,113124
1259.0;39,420625;17,460795;28,94525;28,953887;68,552151;24,875857;56,514655;26,216016
1260.0;39,419545;17,458649;28,974318;28,995417;68,552151;24,927296;56,668982;26,16457
1261.0;39,419236;17,459569;29,010154;29,038486;68,552151;24,875857;56,771866;26,318908
1262.0;39,415379;17,458189;29,052757;29,084785;68,552151;24,875857;56,771866;26,318908
1263.0;39,414762;17,454817;29,153501;29,178463;68,500708;24,875857;56,977636;26,318908
1264.0;39,413065;17,45267;29,203951;29,222149;68,449264;24,824418;56,926193;26,318908
1265.0;39,412756;17,452057;29,253324;29,263529;68,500708;24,875857;56,977636;26,318908
1266.0;39,411831;17,450371;29,301315;29,302601;68,449264;24,875857;57,183405;26,318908
1267.0;39,409516;17,449604;29,385914;29,368133;68,449264;24,875857;57,234847;26,4218
1268.0;39,407202;17,449145;29,428677;29,399515;68,294935;24,824418;57,389174;26,4218
1269.0;39,408128;17,447458;29,465594;29,429052;68,140605;24,875857;57,440616;26,370354
1270.0;39,407202;17,447765;29,499435;29,463357;68,140605;24,772979;57,594943;26,473247
1271.0;39,404271;17,446232;29,533585;29,503201;68,140605;25,030174;57,697828;26,473247
1272.0;39,404117;17,444546;29,594501;29,581198;67,934832;24,824418;57,697828;26,524693
1273.0;39,403962;17,441633;29,620959;29,622582;67,934832;24,772979;57,646386;26,473247
1274.0;39,402728;17,443626;29,646957;29,661351;67,934832;24,875857;57,697828;26,576139
1275.0;39,402574;17,443013;29,673877;29,699352;68,037719;24,824418;57,697828;26,576139
1276.0;39,402882;17,444392;29,726643;29,77443;67,934832;24,875857;57,543501;26,627585
1277.0;39,403654;17,444699;29,754025;29,810585;68,037719;24,824418;57,492059;26,576139
1278.0;39,403499;17,443319;29,782024;29,847049;68,037719;24,927296;57,28629;26,730477
1279.0;39,402728;17,443933;29,805715;29,883974;67,986275;24,824418;57,029078;26,627585
1280.0;39,403808;17,443166;29,853713;29,960595;68,037719;24,875857;56,977636;26,730477
1281.0;39,400105;17,442553;29,876943;29,997984;68,037719;24,824418;56,720424;26,730477
1282.0;39,401648;17,443933;29,896635;30,033218;68,089162;24,824418;56,720424;26,781923
1283.0;39,401185;17,444086;29,917865;30,068915;68,089162;24,875857;56,514655;26,833369
1284.0;39,403345;17,442706;29,958019;30,135539;67,986275;24,875857;56,308886;26,781923
1285.0;39,402265;17,444392;29,978942;30,164312;68,089162;24,72154;56,103116;26,833369
1286.0;39,401648;17,445925;30,002942;30,195394;67,986275;24,824418;55,948789;26,833369
1287.0;39,405042;17,446692;30,02602;30,222167;68,140605;24,824418;55,948789;26,781923
1288.0;39,402728;17,447458;30,049866;30,249865;68,089162;24,824418;55,640136;26,936261
1289.0;39,406431;17,448378;30,095714;30,294334;68,089162;24,824418;55,537251;26,936261
1290.0;39,405968;17,446845;30,117561;30,311414;68,346378;24,875857;55,485809;26,936261
1291.0;39,405197;17,446845;30,137562;30,328956;68,449264;24,824418;55,434366;26,987708
1292.0;39,406122;17,446079;30,160025;30,348191;68,500708;24,875857;55,331482;26,884815
1293.0;39,403962;17,445159;30,200797;30,376505;68,552151;24,875857;55,228597;27,039154
1294.0;39,404579;17,445312;30,226183;30,390661;68,449264;24,875857;55,177155;26,936261
1295.0;39,406431;17,445159;30,251878;30,407434;68,809367;24,978735;56,000232;27,039154
1296.0;39,408745;17,446692;30,275111;30,4239;68,809367;24,875857;55,07427;27,039154
1297.0;39,408128;17,449298;30,323269;30,456676;69,01514;24,927296;55,07427;27,142046
1298.0;39,410751;17,450524;30,347888;30,472834;69,066583;24,875857;55,125712;27,039154
1299.0;39,410288;17,449451;30,37266;30,491454;69,169469;24,824418;55,07427;27,0906
