time;sensor_PT100_1;sensor_PT100_2;sensor_PT100_3;sensor_PT100_4;sensor_humidity_1;sensor_TH_1;sensor_humidity_2;sensor_TH_2;product_humidity
1207.0;36.264411;3.087472;27.183784;27.189646;61.298657;24.258589;50.495905;24.98131;0.1172
1808.3;36.182411;2.999703;31.405253;31.293441;60.475565;24.412906;70.095425;29.19989;0.1267
2398.8;35.814053;2.485954;32.470805;32.535198;59.652474;24.618662;74.262252;30.280258;0.1170
2988.0;35.867069;2.581036;32.339478;32.309782;59.395258;24.72154;75.188213;30.588935;0.1155
3600.0;36.025507;2.773039;33.147225;32.990234;57.337529;25.441686;73.850713;31.257734;0.1075
4020.0;35.856743;2.596146;33.561183;33.532509;56.205778;25.75032;72.204559;31.56641;0.0854
